,0-14
0,3.881861882944143
1,15.995954043889979
2,69.96501329020978
3,305.70131786098943
4,1311.0568142646916
5,5188.662623915553
6,15079.92353522191
7,18634.81224049294
8,6443.814423946426
9,984.7270875809648
10,124.16119945748815
11,15.24680617808688
12,1.86615007181278
13,0.22831768606632244
14,0.027932587310003767
15,0.0034172768151326197
16,0.0004180698371366923
17,5.114668270228685e-05
18,6.257287396091754e-06
19,7.655168123487552e-07
20,9.365336012181585e-08
21,1.145755615088117e-08
22,1.4017179178570762e-09
23,1.7148623103975574e-10
24,2.0979632964367867e-11
25,2.5666492093907498e-12
26,3.1400397591582237e-13
27,3.8415260071456684e-14
28,4.6997245880519235e-15
29,5.749645105214638e-16
30,7.034118322584865e-17
31,8.605543415409993e-18
32,1.0528025557479212e-18
33,1.287999104628941e-19
34,1.5757386648310573e-20
35,1.9277593679375065e-21
36,2.3584216492328404e-22
37,2.8852940714903913e-23
38,3.529870022048675e-24
39,4.318444520326392e-25
40,5.283186904517669e-26
41,6.463453156961563e-27
42,7.907391403569958e-28
43,9.673906082525958e-29
44,1.183506090912385e-29
45,1.447901866399947e-30
46,1.771363773133001e-31
47,2.16708721052319e-32
48,2.6512154359501885e-33
49,3.2434981175139616e-34
50,3.96809700775832e-35
51,4.8545716052547566e-36
52,5.939085013412832e-37
53,7.265879188673306e-38
54,8.889079759789284e-39
55,1.0874904044519786e-39
56,1.3304362338213094e-40
57,1.6276562671434515e-41
58,1.9912753851885668e-42
59,2.4361271723647102e-43
60,2.9803590422887094e-44
61,3.646172548672791e-45
62,4.460729081985278e-46
63,5.457257899139233e-47
64,6.676411687495493e-48
65,8.167924962453602e-49
66,9.992642951785868e-50
67,1.2225003733614188e-50
68,1.4956074885090462e-51
69,1.8297268519713077e-52
70,2.2384886265595754e-53
71,2.738567959385858e-54
72,3.3503652326800084e-55
73,4.098838282935375e-56
74,5.0145205381735823e-57
75,6.1347666075171016e-58
76,7.505276136014125e-59
77,9.18195808929412e-60
78,1.123321152022635e-60
79,1.37427158598419e-61
80,1.6812844560461416e-62
81,2.056884134818232e-63
82,2.5163929451988203e-64
83,3.0785562236863556e-65
84,3.7663070231065113e-66
85,4.607701650261174e-67
86,5.637064203095144e-68
87,6.896386797963693e-69
88,8.437042608280759e-70
89,1.0321881596746207e-70
90,1.2627794435064286e-71
91,1.5448849204442328e-72
92,1.8900128836345238e-73
93,2.312242583918362e-74
94,2.8287985828986146e-75
95,3.4607534167322206e-76
96,4.2338872353192895e-77
97,5.179739485260947e-78
98,6.336895539247408e-79
99,7.752560759010968e-80
100,9.484486204627363e-81
101,1.1603324548112646e-81
102,1.4195512299142333e-82
103,1.736679592124988e-83
104,2.1246545683917575e-84
105,2.599303323110095e-85
106,3.179988816085702e-86
107,3.8903997007669852e-87
108,4.759516686086341e-88
109,5.822794783957111e-89
110,7.123609671375588e-90
111,8.715027170445711e-91
112,1.0661968031010962e-91
113,1.3043856326667761e-92
114,1.595785950360027e-93
115,1.9522852257734149e-94
116,2.388426594377056e-95
117,2.922002134430773e-96
118,3.574778682216474e-97
119,4.373385794709148e-98
120,5.350402083494784e-99
121,6.545684236158078e-100
122,8.0079929416262e-101
123,9.796982047941607e-102
124,1.1985632098746462e-102
125,1.4663227522876214e-103
126,1.7938998929403294e-104
127,2.194657909297785e-105
128,2.684945440823177e-106
129,3.284763420146776e-107
130,4.018580996948059e-108
131,4.9163337395879955e-109
132,6.014644835420172e-110
133,7.358319107782581e-111
134,9.00217079703523e-112
135,1.101325966867655e-112
136,1.3473626668985636e-113
137,1.6483640727324843e-114
138,2.0166093235532561e-115
139,2.4671207235793187e-116
140,3.018276566325615e-117
141,3.6925608640721452e-118
142,4.517480567221906e-119
143,5.526687690862346e-120
144,6.7613521248887285e-121
145,8.271841130506169e-122
146,1.0119774036980751e-122
147,1.2380535958538537e-123
148,1.5146353076713197e-124
149,1.8530054942107714e-125
150,2.2669677276006125e-126
151,2.7734093039867303e-127
152,3.3929901488193047e-128
153,4.1509856238803214e-129
154,5.078317617767634e-130
155,6.212815982441639e-131
156,7.600761775245155e-132
157,9.298775261861792e-133
158,1.1376125699956423e-133
159,1.3917557129485617e-134
160,1.702674544579249e-135
161,2.0830527784334677e-136
162,2.5484076751800108e-137
163,3.117723058270469e-138
164,3.8142237455727185e-139
165,4.666322989368186e-140
166,5.708781574856597e-141
167,6.98412586177084e-142
168,8.544382617105394e-143
169,1.045320141023087e-143
170,1.2788451152000284e-144
171,1.5645396701821065e-145
172,1.9140585130128667e-146
173,2.341660017358713e-147
174,2.864787883764945e-148
175,3.5047827430659934e-149
176,4.28775273230702e-150
177,5.2456385577050705e-151
178,6.417516493139003e-152
179,7.851192469068832e-153
180,9.605152281612995e-154
181,1.1750947479181779e-154
182,1.4376114257222368e-155
183,1.7587744435319611e-156
184,2.1516854192134232e-157
185,2.6323728777626587e-158
186,3.220446123631579e-159
187,3.939895188415919e-160
188,4.8200694872046015e-161
189,5.896875107183236e-162
190,7.2142395710324e-163
191,8.825903829106234e-164
192,1.0797614583443144e-164
193,1.320980637791411e-165
194,1.616088286847668e-166
195,1.9771231130630985e-167
196,2.418813276490741e-168
197,2.9591772145456443e-169
198,3.620258691398677e-170
199,4.429026057724637e-171
200,5.41847240546922e-172
201,6.628961497669464e-173
202,8.109874379581503e-174
203,9.921623843450466e-175
204,1.2138118925586188e-175
205,1.4849779973157598e-176
206,1.8167227278220375e-177
207,2.2225793754190854e-178
208,2.719104574620696e-179
209,3.3265537192925156e-180
210,4.069707267100062e-181
211,4.978881640729836e-182
212,6.0911659648829296e-183
213,7.451935090850945e-184
214,9.11670063144027e-185
215,1.1153375517903567e-185
216,1.3645044459874747e-186
217,1.6693353327258455e-187
218,2.0422655721507915e-188
219,2.4985085892729847e-189
220,3.056676494867709e-190
221,3.739539353352974e-191
