,0-14
0,3.547381300487998
1,12.08664496439622
2,44.24559759481986
3,162.2210125610532
4,589.6225708671888
5,2074.374782782802
6,6513.720122242808
7,14433.776113978201
8,14816.820644695563
9,5740.214452598979
10,1223.8498096388507
11,219.5079974696637
12,38.06821116462304
13,6.562990844865609
14,1.1303069251685682
15,0.19463204609920068
16,0.033513447972265714
17,0.005770608391775769
18,0.0009936277293374949
19,0.00017109043697371675
20,2.9459661780471965e-05
21,5.072590166810729e-06
22,8.734374200149152e-07
23,1.503951436033187e-07
24,2.589618752371008e-08
25,4.459003876011115e-09
26,7.677854335918775e-10
27,1.3220317551352745e-10
28,2.2763755147184234e-11
29,3.919637681834141e-12
30,6.749132319126402e-13
31,1.162117286303913e-13
32,2.0010225363327587e-14
33,3.445513837632092e-15
34,5.932749576659466e-16
35,1.0215462539991524e-16
36,1.7589765682429036e-17
37,3.028740554346108e-18
38,5.215117421776819e-19
39,8.979788540782392e-20
40,1.5462087564980166e-20
41,2.6623806427215056e-21
42,4.584290870782729e-22
43,7.893583077759852e-23
44,1.3591775819159142e-23
45,2.3403360438274647e-24
46,4.0297698188321323e-25
47,6.938766266323222e-26
48,1.1947699115136663e-26
49,2.0572463268960604e-27
50,3.5423242657370207e-28
51,6.099445185332585e-29
52,1.050249180424376e-29
53,1.8083994649784345e-30
54,3.113840682658613e-31
55,5.361649339514423e-32
56,9.232098417884008e-33
57,1.5896534032793615e-33
58,2.73718696245966e-34
59,4.7130981206363514e-35
60,8.115373264376817e-36
61,1.397367114675513e-36
62,2.4060937058161457e-37
63,4.1429963968433746e-38
64,7.133728459023179e-39
65,1.22833999483686e-39
66,2.1150498670963155e-40
67,3.641854827741136e-41
68,6.270824528856107e-42
69,1.07975858818331e-42
70,1.859211023033184e-43
71,3.2013319143716447e-44
72,5.512298442193291e-45
73,9.491497579303841e-46
74,1.6343187373230334e-46
75,2.814095155004043e-47
76,4.845524536045239e-48
77,8.343395207395781e-49
78,1.4366296789740372e-49
79,2.473698995679301e-50
80,4.2594043620167835e-51
81,7.33416860776365e-52
82,1.2628533145802758e-52
83,2.174477543996195e-53
84,3.7441819526880256e-54
85,6.44701920861007e-55
86,1.1100971374093485e-55
87,1.9114502603601023e-56
88,3.291281433584512e-57
89,5.6671804125404515e-58
90,9.758185216420048e-59
91,1.6802390569258958e-59
92,2.8931642777886944e-60
93,4.981671806621828e-61
94,8.577824003778649e-62
95,1.4769954243472455e-62
96,2.5432038271963995e-63
97,4.379083103473308e-64
98,7.5402406295783406e-65
99,1.2983363733574445e-65
100,2.2355749918251963e-66
101,3.849384217088621e-67
102,6.628164523648245e-68
103,1.1412881249296639e-68
104,1.965157291220241e-69
105,3.383758312103769e-70
106,5.8264141836818155e-71
