,0-14
0,3.8818429296523855
1,15.99571478684043
2,69.9633022903399
3,305.690940107117
4,1310.9999235832513
5,5188.393301829048
6,15079.102432693762
7,18634.08097897429
8,6443.772392614843
9,984.7491759137927
10,124.16672824211938
11,15.24779731787597
12,1.8663090923028698
13,0.2283417459315823
14,0.027936093939242394
15,0.003417774707789206
16,0.0004181391776155981
17,5.1156196953658985e-05
18,6.258577521534933e-06
19,7.656900800442754e-07
20,9.367644589590951e-08
21,1.1460611472208968e-08
22,1.4021199679431757e-09
23,1.7153887550167978e-10
24,2.0986496506105143e-11
25,2.567540648221447e-12
26,3.1411936615297677e-13
27,3.84301515384763e-14
28,4.701641179776895e-15
29,5.752105807139976e-16
30,7.0372705936916e-17
31,8.60957344480075e-18
32,1.0533168209826365e-18
33,1.2886542318016594e-19
34,1.5765719259957582e-20
35,1.928817658374428e-21
36,2.3597639269818014e-22
37,2.886994406603261e-23
38,3.532021406233994e-24
39,4.321163624550636e-25
40,5.286620017982573e-26
41,6.467783597859119e-27
42,7.912848762809142e-28
43,9.68077774955482e-29
44,1.1843706438160839e-29
45,1.4489887674550023e-30
46,1.7727292205131695e-31
47,2.1688014150591546e-32
48,2.6533660773081662e-33
49,3.246194645265711e-34
50,3.97147599235245e-35
51,4.858803393331591e-36
52,5.9443820031924015e-37
53,7.272506117118002e-38
54,8.89736648740185e-39
55,1.0885261440318024e-39
56,1.331730201198836e-40
57,1.6292721479487742e-41
58,1.9932924324251125e-42
59,2.438643983551448e-43
60,2.9834982473075233e-44
61,3.6500866267178426e-45
62,4.465607578140185e-46
63,5.463336375628591e-47
64,6.683982824504595e-48
65,8.17735232221212e-49
66,1.0004378041851745e-49
67,1.2239607156514183e-50
68,1.4974242548521758e-51
69,1.831986411284618e-52
70,2.2412981493096033e-53
71,2.7420604012974925e-54
72,3.3547055070204925e-55
73,4.104230903705991e-56
74,5.021219083369275e-57
75,6.1430854342102355e-58
76,7.515604881092703e-59
77,9.194779615817956e-60
78,1.1249124125212055e-60
79,1.3762460751830728e-61
80,1.683733985308041e-62
81,2.0599224109715865e-63
82,2.520160771386153e-64
83,3.083227931210295e-65
84,3.772098424723361e-66
85,4.6148798737092054e-67
86,5.645959848019656e-68
87,6.907408963568349e-69
88,8.450697467627168e-70
89,1.0338795352355654e-70
90,1.2648741686395288e-71
91,1.5474787999619384e-72
92,1.8932243978919406e-73
93,2.31621823889378e-74
94,2.8337195190162627e-75
95,3.466843571825448e-76
96,4.241423426295865e-77
97,5.189063858355451e-78
98,6.348430943997076e-79
99,7.766829730916535e-80
100,9.50213440158621e-81
101,1.1625149683196838e-81
102,1.422249985583993e-82
103,1.7400163237617882e-83
104,2.128779636242567e-84
105,2.6044024287564303e-85
106,3.186291288883554e-86
107,3.898188722878319e-87
108,4.769141908711112e-88
109,5.834687892850545e-89
110,7.138303589749382e-90
111,8.73317974760336e-91
112,1.0684391262578284e-91
113,1.307155239569951e-92
114,1.599206523182731e-93
115,1.9565093925887432e-94
116,2.3936426895443446e-95
117,2.9284425349106547e-96
118,3.5827300865470587e-97
119,4.383201896581217e-98
120,5.362519196836747e-99
121,6.560640557961074e-100
122,8.026452298045569e-101
123,9.819763165446568e-102
124,1.2013744683805232e-102
125,1.469791673138533e-103
126,1.7981800173758296e-104
127,2.199938558629306e-105
128,2.6914600401392725e-106
129,3.2927997553622195e-107
130,4.0284938536009e-108
131,4.928560475647574e-109
132,6.029724568253469e-110
133,7.376916352887478e-111
134,9.02510459001966e-112
135,1.1041539440651478e-112
136,1.3508496439396563e-113
137,1.6526633540007798e-114
138,2.021909820912027e-115
139,2.4736552147804054e-116
140,3.026331866200738e-117
141,3.7024903509825196e-118
142,4.5297196094783393e-119
143,5.541772643660691e-120
144,6.779943723175138e-121
145,8.294753293786773e-122
146,1.0148009336656442e-122
147,1.2415329287009122e-123
148,1.518922541272045e-124
149,1.8582879543907118e-125
150,2.2734761171834685e-126
151,2.7814277347012733e-127
152,3.4028684906308775e-128
153,4.1631547065061936e-129
154,5.093307942409323e-130
155,6.231280753431518e-131
156,7.623505247891724e-132
157,9.326787632322233e-133
158,1.1410626045347805e-133
159,1.396004625381946e-134
160,1.7079070914626456e-135
161,2.089496395665823e-136
162,2.556342326420954e-137
163,3.1274933536168834e-138
164,3.826253853337444e-139
165,4.681134984107484e-140
166,5.727018012754534e-141
167,7.006577556461634e-142
168,8.572022812811088e-143
169,1.0487227824316179e-143
170,1.2830337697508328e-144
171,1.5696957116771437e-145
172,1.9204051252182682e-146
173,2.349471822805829e-147
174,2.8744027880737693e-148
175,3.516616504138038e-149
176,4.302316880740046e-150
177,5.2635624386451975e-151
178,6.4395743766672545e-152
179,7.878336893691916e-153
180,9.6385550628006e-154
181,1.1792050143606366e-154
182,1.4426690067476101e-155
183,1.7649974666691953e-156
184,2.1593421933778843e-157
185,2.6417934281239e-158
186,3.232036375837764e-159
187,3.95415441023218e-160
188,4.837611735080124e-161
189,5.918455596682371e-162
190,7.240787100769823e-163
191,8.858560646811992e-164
192,1.0837785401106869e-164
193,1.3259218634205062e-165
194,1.6221660817503865e-166
195,1.9845986927110996e-167
196,2.428007844215712e-168
197,2.9704857275300067e-169
198,3.6341667834725244e-170
199,4.446130842405006e-171
200,5.439508048361012e-172
201,6.65483065095298e-173
202,8.141686821514564e-174
203,9.960743973271736e-175
204,1.218622414201538e-175
205,1.4908932428935863e-176
206,1.8239962073585733e-177
207,2.2315227333121163e-178
208,2.730100912051862e-179
209,3.340073967753712e-180
210,4.086330311388175e-181
211,4.999319049511854e-182
212,6.116292383207179e-183
213,7.482825590123289e-184
214,9.154676608648864e-185
215,1.1200061099855436e-185
216,1.3702435815371617e-186
217,1.6763903839489075e-187
218,2.0509380647809658e-188
219,2.5091690967941584e-189
220,3.0697804406781054e-190
221,3.755646427341175e-191
222,4.594752087248561e-192
223,5.621335008956408e-193
224,6.877282317497428e-194
225,8.41383977279508e-195
226,1.0293702723553318e-195
227,1.2593574232717886e-196
228,1.540729475236184e-197
229,1.884967104647983e-198
230,2.306116059122145e-199
231,2.821360258769196e-200
232,3.451722942683245e-201
233,4.222924469150734e-202
234,5.166431769952314e-203
235,6.3207422790918634e-204
236,7.732954723423774e-205
237,9.460690867325422e-206
238,1.1574446623355678e-206
239,1.4160468460035723e-207
240,1.7324272471311618e-208
241,2.1194949694445942e-209
242,2.5930433343968493e-210
243,3.172394287787291e-211
244,3.8811867829915666e-212
245,4.748341308789558e-213
246,5.809239916914951e-214
247,7.107169897372194e-215
248,8.695090007048332e-216
249,1.0637791318120287e-216
250,1.3014540854222847e-217
251,1.5922315881278724e-218
252,1.9479760820064625e-219
253,2.3832028232343443e-220
254,2.915670140478299e-221
255,3.5671040186749614e-222
256,4.364084573009937e-223
257,2.7456413256866106e-224
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
