,0-14
0,2.319149963876417
1,2.7532256230691776
2,3.838141781082875
3,5.393413267148426
4,7.583325029307504
5,10.662438330191968
6,14.991129604974587
7,21.0758160178629
8,29.627522086014423
9,41.64388933917105
10,58.52345512745204
11,82.22427008342092
12,115.48285160083566
13,162.11404350419116
14,227.4169701501735
15,318.71530904470416
16,446.0578739174576
17,623.0904127850107
18,868.0670914181035
19,1204.8747820873407
20,1663.7545486782374
21,2281.069948180972
22,3096.952173548313
23,4149.00750054385
24,5459.852667817806
25,7016.976104562888
26,8746.907594860113
27,10493.20366700522
28,12017.1201749772
29,13041.493218224456
30,13338.99550911152
31,12827.624055572884
32,11612.692642513055
33,9942.654069859951
34,8108.600339281057
35,6351.372537798498
36,4817.993618495923
37,3565.986339468306
38,2591.2703907718123
39,1857.834451651923
40,1319.1495049984776
41,930.213766693524
42,652.7572900842588
43,456.48913318643594
44,318.46787361346014
45,221.8054103687504
46,154.30173614312073
47,107.25463131811846
48,74.5101689748802
49,51.742127720338765
50,35.92149650724428
51,24.93344080091496
52,17.304252714330378
53,12.008363092730585
54,8.332728690732898
55,5.781913197808208
56,4.0118310615258945
57,2.7835851268091485
58,1.9313456056494944
59,1.3400193078129334
60,0.9297347075387349
61,0.6450671109036697
62,0.44755795075043586
63,0.3105221806987509
64,0.21544442784696288
65,0.14947804562615752
66,0.10370966060475084
67,0.0719549668217236
68,0.04992317256895277
69,0.03463725455702216
70,0.02403170956726728
71,0.016673463264846134
72,0.011568230383021173
73,0.008026163724697468
74,0.005568639219052202
75,0.003863582018002674
76,0.002680594866745479
77,0.0018598255982267072
78,0.0012903670244117898
79,0.0008952705285558667
80,0.000621148324739349
81,0.00043095938909504695
82,0.00029900425909469607
83,0.00020745237040401947
84,0.0001439326853383746
85,9.986204473165023e-05
86,6.928536037025916e-05
87,4.80709279764952e-05
88,3.335212667706415e-05
89,2.3140064078458548e-05
90,1.6054825249209137e-05
91,1.1139010371226489e-05
92,7.728365156083306e-06
93,5.362022836212609e-06
94,3.7202290930340303e-06
95,2.5811349423794577e-06
96,1.7908191737858868e-06
97,1.2424895965386434e-06
98,8.620526405427074e-07
99,5.981013902518897e-07
100,4.1496917496233963e-07
101,2.8791007507276653e-07
102,1.9975510551067536e-07
103,1.3859223984243715e-07
104,9.615678605773139e-08
105,6.671461198303294e-08
106,4.628731506659179e-08
107,3.211463684474853e-08
108,2.2281480318876588e-08
109,1.5459130601428854e-08
110,1.0725711017932214e-08
111,7.441613620209214e-09
112,5.163071537159244e-09
113,3.5821945425155977e-09
114,2.485365087056029e-09
115,1.7243730184511743e-09
116,1.1963885395543717e-09
117,8.300672315452161e-10
118,5.75909569596661e-10
119,3.995722511965506e-10
120,2.7722752382478327e-10
121,1.9234343660219638e-10
122,1.334499442678923e-10
123,9.258900610128851e-11
124,6.423924789069409e-11
125,4.4569880845762905e-11
126,3.092306251756834e-11
127,2.1454753239627426e-11
128,1.4885538465402298e-11
129,1.0327746627060213e-11
130,7.165501647163356e-12
131,4.971502081680706e-12
132,3.449281594672437e-12
133,2.3931486548475613e-12
134,1.660392266332948e-12
135,1.1519980058547058e-12
136,7.992686020058254e-13
137,5.545411492951126e-13
138,3.8474661145178204e-13
139,2.669413355740907e-13
140,1.8520676860336573e-13
141,1.2849844728142575e-13
142,8.915360425675763e-14
143,6.18557291557209e-14
144,4.291616992137353e-14
145,2.977570009858759e-14
146,2.06587008576336e-14
147,1.4333228764130245e-14
148,9.944548218237929e-15
149,6.8996344712188915e-15
150,4.787040576577051e-15
151,3.3213002192197066e-15
152,2.3043538005847776e-15
153,1.5987854417800955e-15
154,1.1092545286228654e-15
155,7.696127179519167e-16
156,5.339655780974624e-16
157,3.704710589395051e-16
158,2.5703680375948656e-16
159,1.7833489794321875e-16
160,1.2373066953546907e-16
161,8.584566879652393e-17
162,5.956064796860993e-17
163,4.1323817918514754e-17
164,2.867090915905654e-17
165,1.989218502578324e-17
166,1.3801411838905776e-17
167,9.575567917762647e-18
168,6.64363197170956e-18
169,4.609423290042767e-18
170,3.1980674361950545e-18
171,2.2188535708024142e-18
172,1.5394644631134491e-18
173,1.0680969958428236e-18
174,7.410571792097241e-19
175,5.14153438307288e-19
176,3.5672518334565984e-19
177,2.4749976748563704e-19
178,1.7171799964032365e-19
179,1.1913979435227302e-19
180,8.266047023627648e-20
181,5.735072296229787e-20
182,3.979054818943891e-20
183,2.760711013629082e-20
184,1.9154109826503462e-20
185,1.3289327330334219e-20
186,9.22027818011144e-21
187,6.3971281318797266e-21
188,4.438396275717614e-21
189,3.0794070548834777e-21
190,2.136525722488115e-21
191,1.4823445168167569e-21
192,1.0284665629851446e-21
193,7.135611588120656e-22
194,4.950764037358134e-22
195,3.4348933165592833e-22
196,2.3831659127991157e-22
197,1.6534661325716951e-22
198,1.1471925797858e-22
199,7.959345457343588e-23
