,0-14,15 и ст.
0,2.96678549789892,2.2345261514846557
1,5.32755776100967,2.6006214105326912
2,9.176668556347924,3.928339711340848
3,15.251583750953582,6.211229277830803
4,24.972003459201815,9.978890251556953
5,40.64816720265944,16.128166398297957
6,66.00415633245123,26.123635762427067
7,107.04285427326016,42.341167159064454
8,173.42336892815746,68.62258868041602
9,280.6209790832587,111.15977478282264
10,453.23948265220895,179.8854683056674
11,729.894380668231,290.61576280710005
12,1169.898456052631,468.23300989446255
13,1861.0759302215165,751.1109311657707
14,2925.347704134947,1196.4851944907186
15,4512.505658823002,1884.9467158120274
16,6761.773352014784,2918.659082690485
17,9701.774214073845,4401.633154662359
18,13081.337744153865,6384.795309131958
19,16226.016069954754,8768.496000131203
20,18163.496406491347,11205.105195513013
21,18163.496251091732,13120.016141031789
22,16293.494422252132,13947.065315198206
23,13342.253999622653,13456.264858654096
24,10209.374349298514,11879.375302546317
25,7456.731482447257,9727.404104320498
26,5279.508902658919,7503.219963213099
27,3660.6239110971073,5531.984563838847
28,2502.1989050358297,3946.7054819018376
29,1693.7177321815304,2750.935485044354
30,1138.8236154375618,1886.7470226159064
31,762.2534594519251,1279.8263520945316
32,508.6407301200269,861.669762695794
33,338.7109076663729,577.2267974384586
34,225.24212037995505,385.3806681984403
35,149.64819217460908,256.7187314551707
36,99.36376472746728,170.7557507659855
37,65.94900053687529,113.46474683410408
38,43.759387194044514,75.34586433665129
39,29.03062974352187,50.01119488600596
40,19.257063260292973,33.18551012795828
41,12.77289682522983,22.016374173464406
42,8.471611433397422,14.604523487187235
43,5.61859306271414,9.687060982130374
44,3.7263112871801845,6.424985715247272
45,2.4712919508261093,4.26124047222579
46,1.6389457546109705,2.826110499699432
47,1.086931532566132,1.8742826440584364
48,0.720838314132757,1.2430147626149612
49,0.4780488234829437,0.8243551293062668
50,0.31703396655141425,0.5467015646797571
51,0.21025133927180856,0.36256418899597664
52,0.13943486264754762,0.24044656532963174
53,0.09247061103383264,0.15945995646627054
54,0.06132476844442588,0.10575095576840784
55,0.04066942175126236,0.07013207581396004
56,0.026971183616304805,0.046510275133478496
57,0.017886771779465776,0.030844732338963024
58,0.011862163180993387,0.020455637799868417
59,0.007866758195822575,0.013565786966047318
60,0.005217082379694258,0.008996569222853025
61,0.0034598683850617343,0.005966351509282592
62,0.002294517931866984,0.003956769320975023
63,0.0015216799901665308,0.0026240530874124513
64,0.0010091487827907665,0.00174022136286703
65,0.0006692479812956268,0.0011540812095624227
66,0.00044383233362413766,0.0007653643712980657
67,0.0002943410298087623,0.0005075748685507969
68,0.0001952012847215353,0.0003366138483629628
69,0.0001294537209141936,0.00022323580166810957
70,8.58512067353801e-05,0.00014804567109746023
71,5.693486168862997e-05,9.818102897482104e-05
72,3.7758100299494974e-05,6.511176161777311e-05
73,2.5040442634303475e-05,4.3180862368521356e-05
74,1.660633777345764e-05,2.863671367649135e-05
75,1.1013002375989e-05,1.89913152510441e-05
76,7.3036104036087376e-06,1.259467336228319e-05
77,4.843613313151131e-06,8.352544044164925e-06
78,3.212190770098756e-06,5.539245838263885e-06
79,2.1302628587952008e-06,3.673520821140584e-06
80,1.4127491709912266e-06,2.436208035730387e-06
81,9.369079556940828e-07,1.6156461014505138e-06
82,6.213392550240233e-07,1.071465279985866e-06
83,4.120601895698725e-07,7.10575072831436e-07
84,2.7327035666128596e-07,4.7123965989263864e-07
