,0-14,15 и ст.
0,2.6108628844005954,2.2809449961403665
1,3.7990184596950494,2.6813353825338284
2,5.782688713947943,3.8449931701152384
3,8.642516598098814,5.624995861705221
4,12.806094987285137,8.270851933630711
5,18.912560446916224,12.18118251285867
6,27.89470416965789,17.949825854554014
7,41.11854928096478,26.453351998889957
8,60.587926072984814,38.9823861053173
9,89.24075398158358,57.434024623434404
10,131.3759716627493,84.59175567592706
11,193.26283479824193,124.52958253801577
12,283.9966914007697,183.18915647580985
13,416.67047890962033,269.1905178437012
14,609.9120457348063,394.941932145117
15,889.7569158217502,578.0962384769119
16,1291.6113501070988,843.3252631322763
17,1861.5856426640696,1224.1820005903894
18,2655.5719009802438,1764.3758078843507
19,3733.0063655924896,2516.943577172338
20,5140.67957657473,3538.4788812705756
21,6882.004087133675,4874.154414879447
22,8872.88156856276,6529.36251770818
23,10901.295404503653,8429.010950234484
24,12629.626710539136,10379.703210958494
25,13679.99762787989,12069.214442545315
26,13789.974075954922,13139.56211460733
27,12943.51944963639,13326.491511773818
28,11373.428585632271,12586.986797899883
29,9437.302631673672,11119.202871676605
30,7469.001179196529,9260.131188862437
31,5693.427889371878,7342.295751718106
32,4216.364165591295,5599.012127827317
33,3055.51224666089,4144.311311229731
34,2179.237194594752,3000.5356422276027
35,1536.4496972656834,2137.9022483066337
36,1074.3892501470332,1505.961010966512
37,746.939404021226,1052.3019269181414
38,517.1841782390669,731.1732595555617
39,357.0898630159002,506.0569724470668
40,246.07024249940696,349.30193085440146
41,169.33740476170092,240.65206560192223
42,116.42371812342795,165.58386761243088
43,79.99282936426896,113.8311104302474
44,54.93748850939154,78.20578960085723
45,37.71852525982809,53.707477267330134
46,25.891073011136235,36.87275190708484
47,17.769827632385937,25.309903802892812
48,12.194772325450476,17.370667405525573
49,8.368254524928075,11.920708504204189
50,5.7421688595279985,8.180123763478536
51,3.9400636789899792,5.613046411943703
52,2.7034668872513445,3.8514505123689506
53,1.854950701076909,2.6426584869149603
54,1.2727386466939772,1.8132246295681667
55,0.8732589249575335,1.2441076327069975
56,0.5991626538485885,0.8536137509021737
57,0.41109765419774325,0.5856833297208797
58,0.28206180035279826,0.4018490625065817
59,0.1935275821529012,0.2757160959147345
