,0-2,3-6,7-14,15 и ст.
31,852.0,931.0,837.0,1936.0
32,720.0,696.0,537.0,1500.0
33,1253.0,1152.0,614.0,1120.0
34,1433.0,1277.0,810.0,2920.0
35,2853.0,3336.0,2583.0,8375.0
36,4015.0,5673.0,6003.0,12644.0
37,3902.0,5804.0,6765.0,13576.0
38,4506.0,6223.0,7437.0,17609.0
39,3724.0,4649.0,5315.0,15589.0
40,1043.0,1313.0,1327.0,4109.0
41,3833.0,4620.0,4950.0,14243.0
42,1559.0,1798.0,1627.0,3806.0
43,2932.0,3269.0,2577.0,8041.0
44,1776.0,1970.0,1014.0,4119.0
45,1038.0,1152.0,500.0,2388.0
46,300.0,322.0,184.0,658.0
47,471.0,506.0,344.0,1027.0
48,89.0,91.0,76.0,192.0
49,681.0,661.0,553.0,1415.0
50,192.0,179.0,135.0,385.0
51,1113.0,984.0,692.0,2144.0
52,662.0,609.0,405.0,1512.0
