,0-2
0,2.7086594462668385
1,4.902792323205901
2,10.003460300869389
3,20.510532615421013
4,41.93041354729127
5,85.12138792401508
6,170.3497977789894
7,331.29475509003043
8,609.3636366454182
9,1011.1411597116202
10,1411.2360741540472
11,1534.8845625063448
12,1249.2918725909037
13,783.5801895573022
14,409.9854168001413
15,193.6160052568281
16,86.92125880220468
17,38.125510370497345
18,16.551274795494113
19,7.153129541945882
20,3.085430723223044
21,1.3297522720962438
22,0.5728862735772589
23,0.2467733903358914
24,0.1062916250872855
25,0.045781202123773186
26,0.019718320508463557
27,0.008492788683144424
28,0.003657882157142205
29,0.00157546467278012
30,0.0006785587297118865
31,0.0002922578160695164
32,0.00012587653877818667
33,5.421549604583203e-05
34,2.3350816574857426e-05
35,1.005728382127975e-05
36,4.331709653939077e-06
37,1.8656835023575234e-06
38,8.035568418199062e-07
39,3.460949282546151e-07
40,1.4906437618151763e-07
41,6.420258267736246e-08
42,2.765229176790098e-08
43,1.1909945178591334e-08
44,5.129657800054305e-09
45,2.2093627427371122e-09
46,9.515807719065087e-10
47,4.09849386859918e-10
48,1.7652365922956612e-10
49,7.60293982785555e-11
50,3.274614534860561e-11
51,1.4103886910472182e-11
52,6.074596685067797e-12
53,2.6163514441425142e-12
54,1.126872323243007e-12
55,4.853481116743745e-13
56,2.090412415383128e-13
57,9.00348422354569e-14
58,3.877834228648086e-14
59,1.6701976625392134e-14
60,7.193603613437507e-15
61,3.0983119009152732e-15
62,1.334454489182789e-15
63,5.747545246087203e-16
64,2.4754891698142197e-16
65,1.0662024164210498e-16
66,4.5921735657094366e-17
67,1.977866278749149e-17
68,8.518743816270925e-18
69,3.669054727660786e-18
70,1.580275552935096e-18
71,6.8063057342196255e-19
72,2.9315012601206525e-19
73,1.2626085241635537e-19
74,5.438101995647291e-20
75,2.3422108079504997e-20
76,1.0087989289776363e-20
77,4.34493460474175e-21
78,1.8713795363179708e-21
79,8.060101445779565e-22
80,3.471515748434444e-22
