,0-14,15 и ст.
0,2.2874869856357725,2.296244835870752
1,2.6089471272833937,2.6484086072265827
2,3.508611849982863,3.5975846278942036
3,4.756832332414171,4.9264754238433035
4,6.452957716700544,6.750237676330329
5,8.753934242134411,9.249223144825821
6,11.874978609915466,12.672913985113901
7,16.107980865495282,17.36306256958214
8,21.848434288468546,23.78739927650868
9,29.6319295721172,32.5857522756949
10,40.18329741917161,44.63280702881371
11,54.482578827649355,61.123265265832174
12,73.85323333016561,83.68697087899942
13,100.0794314737139,114.5437509365451
14,135.56081788753045,156.71018199475844
15,183.51448565927046,214.27290643929848
16,248.23442781208672,292.74469902517217
17,335.4171330566993,399.518551981693
18,452.55583541204436,544.4283637281258
19,609.3908884024237,740.4064621565104
20,818.3726197807323,1004.1880524257597
21,1095.0348546350046,1356.9348509453937
22,1458.0775905601802,1824.5127669851634
23,1928.802433852101,2436.938823909777
24,2529.3360265800206,3226.206287149017
25,3278.865834017841,4221.366045149448
26,4187.060487265342,5439.603869655592
27,5244.293173821771,6872.588673338347
28,6409.727727222617,8469.315304436514
29,7601.07832693729,10120.570805046384
30,8693.178725494434,11655.110072700516
31,9533.609808413921,12859.727749844726
32,9978.396099767335,13528.514391538725
33,9938.167481797362,13528.650767890356
34,9412.814503142763,12851.621836219085
35,8493.758797022188,11619.094198761013
36,7331.379383488412,10038.52763270411
37,6086.4277945084,8334.646837430479
38,4890.057656438538,6692.152720560703
39,3825.687722960356,5229.1862305233735
40,2930.7915551592664,3999.2812813676505
41,2209.1602901229267,3008.4503467978866
42,1644.9126921065458,2234.9160498163315
43,1213.6109692181826,1644.8058028033192
44,889.3537927394192,1202.163103508775
45,648.5025730923742,874.1950444774402
46,471.1668961224481,633.3532831942198
47,341.4242825213095,457.6320133003801
48,246.93687461430136,330.0209738871711
49,178.3524507228683,237.65995899929416
50,128.68871737112804,170.97396915267882
51,92.78776688562515,122.90982005557532
52,66.86778400740764,88.31097473300069
53,48.170583769528875,63.4276139920577
54,34.69212560461326,45.54323093570238
55,24.980234418402528,32.69522227012582
56,17.984656495610405,23.46840900852543
57,12.946866862157128,16.84376171242433
58,9.319577752419296,12.088237165070264
59,6.708192611271113,8.674894058825146
60,4.828350736523129,6.225139595851107
61,3.4752063492690257,4.467065327083891
62,2.5012328293562516,3.2054359423787675
63,1.8002039292694092,2.300095448355162
64,1.2956420159450108,1.65044202562615
65,0.932492343779857,1.1842722963558514
66,0.6711248546489408,0.8497684949258129
67,0.48301407673025576,0.609744752686613
68,0.347628292298109,0.4375164243256771
69,0.2501898142184092,0.3139350597283179
70,0.18006261243695815,0.22526031205481464
71,0.12959165817485746,0.1616326578116975
72,0.09326748019147335,0.11597736547771753
73,0.06712483363441682,0.08321797482213757
74,0.04830988953714284,0.059711899553915024
75,0.034768724120417704,0.0428454311472991
76,0.025023115627563222,0.030743128873827925
77,0.01800918060011234,0.0220592912552243
78,0.012961237902086592,0.015828326557650013
79,0.009328224313846764,0.011357386833530748
80,0.006713538103859289,0.008149328276911448
81,0.004831744043387471,0.0058474321546142195
82,0.0034774137781119737,0.004195739912843197
83,0.0025027001125936792,0.0030105921064302286
84,0.0018011971454404319,0.0021602065185182683
85,0.0012963243616569771,0.0015500247103265735
86,0.0009329666346577557,0.0011121976373062229
87,0.0006714575170027729,0.0007980411989794978
88,0.0004832490024825512,0.0005726228249641736
89,0.0003477950456945674,0.0004108771567776333
90,0.00025030862550727865,0.0002948189109661095
91,0.00018014749979011123,0.0002115430091799843
92,0.00012965243041188426,0.00015178960041494635
93,9.331105188760161e-05,0.00010891441351657035
94,6.715610631036668e-05,7.814994856960252e-05
95,4.833235208436225e-05,5.607535552074404e-05
96,3.478486746423703e-05,4.023605329924952e-05
97,2.5034722129274104e-05,2.8870793056427e-05
98,1.8017527669268147e-05,2.071581636992786e-05
99,1.2967242121013825e-05,1.486433181774557e-05
100,9.332543915031375e-06,1.0665684442629447e-05
101,6.716646077014055e-06,7.653006271591446e-06
102,4.833980416598653e-06,5.491303001322931e-06
103,3.4790230718642976e-06,3.940204356491615e-06
104,2.5038582061249806e-06,2.827236152675534e-06
