,0-14,15 и ст.
0,2.5840584624504808,2.569458786425291
1,4.138819807120862,4.053974468206608
2,7.560778802480014,7.305287761788001
3,13.907766481724385,13.256175864912729
4,25.591599721396005,24.06303407543446
5,47.07572410742292,43.66596059327888
6,86.53936891037628,79.18717195892202
7,158.89564524219512,143.4341380825827
8,291.1144497819068,259.24636714267143
9,531.240531475922,466.73111611482415
10,962.4741162687972,834.3107644929285
11,1721.256245791451,1472.3792259141937
12,3007.8570546921537,2539.836625229218
13,5048.579240369312,4210.678204075506
14,7919.891152113774,6531.291263772897
15,11167.927628725145,9122.506188532927
16,13518.11567727926,10966.098458993833
17,13518.12633686543,10926.783791510295
18,11050.64942314929,8931.87048736079
19,7572.308273172262,6139.147877077362
20,4558.949147720112,3715.75361703425
21,2528.0226961603516,2074.3104078574875
22,1337.0486977160392,1105.3260386861919
23,689.27481265538,574.3325051127206
24,350.6090330190456,294.5174239233151
25,177.120696309761,150.00919442731578
26,89.1657844131228,76.14277756123231
27,44.808411405923295,38.58177151733909
28,22.497459439408136,19.532288413605695
29,11.290473472049785,9.883964420605599
30,5.664903012893991,5.000483216200946
31,2.84199477811716,2.5295529305057896
32,1.4257032369436933,1.2795311963607061
33,0.7151916592010524,0.6472104895226138
34,0.35876446927485134,0.32736628430100023
35,0.17996714541202416,0.1655843141417769
36,0.09027664868338578,0.08375347733058132
37,0.04528525550085374,0.04236290169120964
38,0.022716311229793847,0.02142733446489709
39,0.01139511188036174,0.010838031128590303
40,0.005716092840779506,0.005481918024745137
41,0.002867344683256285,0.0027727749902610186
42,0.0014383365119513742,0.0014024800537587724
43,0.0007215079062886267,0.0007093796823506126
44,0.00036192757854756636,0.00035880690404824114
45,0.0001815525096355334,0.00018148587647661473
46,9.107157227402742e-05,9.179623597453047e-05
47,4.5683925146415215e-05,4.643087983643681e-05
48,2.2916273021616507e-05,2.348491283313759e-05
49,1.1495412604306628e-05,1.1878756819825692e-05
50,5.7664049815512335e-06,6.008319662584593e-06
51,2.892582245777205e-06,3.039030574564901e-06
52,1.450996257603776e-06,1.5371530396542608e-06
53,7.278583496068242e-07,7.774977609698254e-07
54,3.6511312438448453e-07,3.9326127764048236e-07
55,1.8315046281840173e-07,1.9891302618963465e-07
56,9.187314777305864e-08,1.0061095316871836e-07
57,4.608601666533703e-08,5.088939669464806e-08
58,2.3117972808790273e-08,2.5740047324666093e-08
59,1.159659058123073e-08,1.3019412280542584e-08
60,5.817158546770148e-09,6.585267462514166e-09
61,2.9180415848280485e-09,3.3308529308693746e-09
62,1.4637673397285995e-09,1.6847578796510422e-09
63,7.342646643544416e-10,8.52156841492649e-10
64,3.683267023975925e-10,4.310241200077513e-10
65,1.8476247909649657e-10,2.1801361320181035e-10
66,9.268177805103471e-11,1.1027210157160957e-10
67,4.6491647139108566e-11,5.577604171792321e-11
68,2.332144785264236e-11,2.8211730667881365e-11
69,1.1698659079901668e-11,1.4269598966922045e-11
70,5.868358822853249e-12,7.217616567869857e-12
71,2.9437250063063668e-12,3.650697475209154e-12
72,1.4766508276568137e-12,1.846536447340244e-12
73,7.407273648687481e-13,9.339850465589681e-13
74,3.7156856501821337e-13,4.724131324091988e-13
75,1.8638868368817198e-13,2.389483305914799e-13
76,9.349752556518479e-14,1.208609599849122e-13
77,4.6900847808107174e-14,6.11319259369431e-14
78,2.3526713801486094e-14,3.0920756952670427e-14
79,1.1801625944197928e-14,1.563983460151928e-14
80,5.920009743050812e-15,7.910686880573111e-15
81,2.9696344828694185e-15,4.001255033502242e-15
82,1.4896477108334095e-15,2.0238497724444295e-15
83,7.472469474583458e-16,1.0236707900716406e-15
84,3.74838961202056e-16,5.17776517167195e-16
85,1.8802920147474893e-16,2.61893300394972e-16
86,9.432045295892735e-17,1.324666115934016e-16
87,4.731365009584403e-17,6.700210795989499e-17
88,2.3733786418167123e-17,3.388991699167945e-17
89,1.190549908117643e-17,1.7141646862668704e-17
