,0-14,15 и ст.
0,2.6689983018978998,1.8020340684074558
1,4.652508658361799,0.9298982101200579
2,9.179472681519705,0.6212546352093059
3,18.230246911545585,0.418785120662617
4,36.2126055969732,0.28251444717341767
5,71.89165986224458,0.19059160381265272
6,142.55289604569055,0.12857797455024492
7,281.9930195447694,0.08674190249940872
8,555.2039083900543,0.0585182060931427
9,1083.011865491917,0.039477792709403464
10,2074.6372300620887,0.0266326623956358
11,3838.443880258523,0.017967026701960286
12,6658.310679944179,0.012120981278339884
13,10319.78446970292,0.008177099939583281
14,13393.93066610069,0.005516464181360339
15,13686.546199043913,0.003721536480087536
16,10766.712405553575,0.002510635962921079
17,6759.434446289737,0.0016937339848556244
18,3634.641916599365,0.0011426327094421957
19,1788.0848013842863,0.0007708468439985842
20,840.5536948796681,0.0005200313699601838
21,386.60928119174446,0.00035082536398434367
22,176.02777677795672,0.0002366750215089633
23,79.77719772863877,0.00015966652201099903
24,36.07970076094449,0.00010771478145904306
25,16.301726131299944,7.266691845402053e-05
26,7.362365222633643,4.902280785440144e-05
27,3.3244261981810643,3.3071936172872976e-05
28,1.5009903816309131,2.2311103949467707e-05
29,0.6776756921925844,1.5051594099403105e-05
30,0.30595540836165386,1.0154158459353965e-05
31,0.13813090339542863,6.850233492106697e-06
32,0.062362280092363456,4.6213282057452025e-06
33,0.028154797209548336,3.1176564140533723e-06
34,0.01271108136760973,2.1032441504074727e-06
35,0.005738685812404477,1.418897841407029e-06
36,0.0025908503698580097,9.57221768065643e-07
37,0.0011696937938667216,6.457642590696433e-07
38,0.0005280828044200417,4.3564771738561444e-07
39,0.00023841405836064848,2.938981694900046e-07
40,0.00010763702659952743,1.982705993451061e-07
41,4.859499285368837e-05,1.3375799731186301e-07
42,2.1939228553809414e-05,9.023628265590801e-08
43,9.904924787346262e-06,6.08755130249614e-08
44,4.4717859963352765e-06,4.106804909264309e-08
45,2.0188815588186176e-06,2.7705469284236235e-08
46,9.114664144618856e-07,1.8690759488672535e-08
47,4.1150062570195954e-07,1.2609224795268826e-08
48,1.8578058638752503e-07,8.506478831636723e-09
49,8.387454142857448e-08,5.73867016315146e-09
50,3.786692052507411e-08,3.871441508672612e-09
51,1.709581531687922e-08,2.6117652572738087e-09
52,7.718264313444279e-09,1.7619581088392022e-09
53,3.48457227151714e-09,1.188658271894115e-09
54,1.573183221294286e-09,8.018967535346972e-10
55,7.10246553929048e-10,5.409783606728346e-10
56,3.2065570020067875e-10,3.6495669227522726e-10
57,1.4476673980660834e-10,2.4620834569208474e-10
58,6.535798035437448e-11,1.6609792551144206e-10
59,2.95072307472645e-11,1.120535568429005e-10
60,1.3321658069166997e-11,7.559395797679705e-11
61,6.014341882226763e-12,5.0997457319533683e-11
62,2.715300759747605e-12,3.4404080996207864e-11
63,1.2258794661596753e-12,2.32098000842928e-11
64,5.53448990929321e-13,1.5657875587847113e-11
65,2.498661524368711e-13,1.056317017096655e-11
66,1.1280731405575695e-13,7.1261623861286094e-12
67,5.092922742983082e-14,4.807476309815762e-12
68,2.2993067677485946e-14,3.2432362914474094e-12
69,1.0380702553359058e-14,2.1879632814175327e-12
70,4.686585844603473e-15,1.4760513544620353e-12
71,2.1158574543425634e-15,9.957788686461228e-13
72,9.55248215980513e-16,6.717757835760017e-13
73,4.312668380665952e-16,4.5319570198624767e-13
74,1.9470445744308314e-16,3.057364515366924e-13
75,8.790341014430473e-17,2.0625698211296084e-13
76,3.968583778959785e-17,1.3914579846963611e-13
77,1.7917003657500485e-17,9.387101970273586e-14
78,8.089007009624697e-18,6.332759189961668e-14
79,3.6519518359514365e-18,4.27222790218344e-14
80,1.6487502355036093e-18,2.882145159905441e-14
81,7.443628670872088e-19,1.944362733673679e-14
82,3.3605822517383756e-19,1.3117127106196881e-14
83,1.5172053268712878e-19,8.849121644860819e-15
84,6.849741596700595e-20,5.969825042600214e-15
85,3.092459478660319e-20,4.027384012734655e-15
86,1.3961556785970636e-20,2.7169677285828777e-15
87,6.3032375762066874e-21,1.8329301638033698e-15
88,2.8457287787582358e-21,1.2365376850215933e-15
89,1.2847639303366302e-21,8.341973287764548e-16
90,5.8003361705267305e-22,5.627690864315394e-16
91,2.6186833936336784e-22,3.7965722703466007e-16
92,1.1822595302213432e-22,2.5612567128308657e-16
93,5.33755856166978e-23,1.7278838599382932e-16
94,2.4097527379559842e-23,1.1656709842784155e-16
95,1.0879334045694764e-23,7.86388990077803e-17
96,4.911703487811334e-24,5.305164596667038e-17
97,2.217491534946006e-24,3.5789884844324655e-17
98,1.001133052872526e-24,2.4144695868149942e-17
99,4.519825098580449e-25,1.628857821424089e-17
100,2.0405698186811286e-25,1.0988656957631523e-17
101,9.212580341261671e-26,7.413205753399214e-18
102,4.159212577154342e-26,5.00112249878408e-18
103,1.8777637340625608e-26,3.373874553040133e-18
104,8.477558132825701e-27,2.276094917174955e-18
105,3.827371388196419e-27,1.5355070233187897e-18
106,1.7279470708037393e-27,1.0358890575564235e-18
107,7.801179390919333e-28,6.988350579119129e-19
108,3.522006021920382e-28,4.71450523204456e-19
109,1.5900834728762237e-28,3.1805158214854686e-19
110,7.178765268934758e-29,2.145650581096603e-19
111,3.241004114912623e-29,1.4475062142624293e-19
112,1.4632192695219912e-29,9.765216474611133e-20
113,6.606010220256046e-30,6.587844104324393e-20
114,2.9824218378687414e-30,4.4443141691449206e-20
115,1.3464768782406758e-30,2.998238592363887e-20
116,6.078952214661683e-31,2.0226820865073405e-20
117,2.7444704491639197e-31,1.3645487832414463e-20
