,0-14,15 и ст.
0,2.4523690682476964,2.2751070865922856
1,3.1566295395103334,2.7713622788147654
2,4.622263949084972,4.058115979273985
3,6.821477214548699,5.988915520420866
4,10.07273558908135,8.843358854121556
5,14.873467202320123,13.058164172496362
6,21.960866574696134,19.280554055882416
7,32.42238565430646,28.465262883469986
8,47.86066839285837,42.019345097257435
9,70.63524665409092,62.01438075891618
10,104.21488153157168,91.49583241644433
11,153.68789398998723,134.93113073513894
12,226.49417737024316,198.8524332643605
13,333.45962196871454,292.76498785020823
14,490.22398943070453,430.4011421228825
15,719.1380188808027,631.3867701407019
16,1051.6224675675737,923.3141917104606
17,1530.7449901027653,1344.0082168887016
18,2213.2249633338174,1943.2935307175255
19,3168.9907257530717,2782.619537099215
20,4474.586392993691,3929.295148697324
21,6194.425825201084,5440.064886912901
22,8342.9751076064,7327.942250663479
23,10826.446162092961,9511.01796776522
24,13381.946473689057,11758.918456699379
25,15564.633456827953,13681.21287812448
26,16848.736271532267,14815.665887198991
27,16848.799783597013,14822.302058959262
28,15535.88070136397,13673.76267837587
29,13267.105032060483,11682.354962613343
30,10593.066273052817,9331.667313745505
31,8005.82455673099,7055.01463337805
32,5799.601180352928,5112.245319512392
33,4072.4680119620616,3590.561307175898
34,2797.0726509650885,2466.4592548075993
35,1891.8720994561431,1668.429095878012
36,1266.339686481546,1116.8569065271995
37,841.7142691305642,742.3917692684398
38,556.8656930856581,491.1713769605242
39,367.2752637453951,323.95422420596685
40,241.7380719442464,213.2275042241377
41,158.89623221653179,140.15734343720973
42,104.35122057461705,92.04548306637781
43,68.49025725265064,60.413710937425435
44,44.9359767653257,39.63711739511792
45,29.4747906830485,25.999163075458554
46,19.330178797620096,17.05080977872942
47,12.675765112110303,11.181077274654616
48,8.311545464561915,7.331476821502404
49,5.449658014966448,4.807054784386664
50,3.5730863418630086,3.151762074478512
51,2.34265920570593,2.066422348057716
52,1.5359215825740997,1.3548120724379125
53,1.0069902134950817,0.8882501524762075
54,0.6602053157217286,0.5823566977725478
55,0.4328437830358177,0.3818046850539771
56,0.28378033867248476,0.2503181723050272
57,0.18605131060310867,0.16411293593908766
58,0.12197833863179698,0.10759517551590957
59,0.07997097640428126,0.0705411418117857
60,0.05243024528345744,0.046247895744355234
61,0.03437409345244175,0.030320847918145443
62,0.022536191995588352,0.019878821008477952
63,0.014775077239772432,0.013032863589017287
64,0.009686769152896279,0.008544546942943638
