,A(H1N1)pdm09,A(H3N2),B
0,2.1829576654517453,1.5497634499688626,1.4548945999277636
1,2.163973987603664,0.41994328493705013,0.2850157224607945
2,2.5674901230872367,0.1613180099923512,0.08318195679642171
3,3.0720777525178287,0.06244373665590315,0.024435930719097203
4,3.678184356621948,0.024190661972684106,0.0071838236717579225
5,4.404011357828823,0.009371805246985068,0.0021120437919726503
6,5.273058065792271,0.0036307600412889074,0.0006209390633038774
7,6.313568856381254,0.001406598692873345,0.00018255485664510213
8,7.559362308797174,0.0005449303157228893,5.36705321539135e-05
9,9.050922638792784,0.00021111031637095556,1.577887899419574e-05
10,10.836711077185992,8.17852947429265e-05,4.638885759862744e-06
11,12.97473463851916,3.16838342274858e-05,1.3637914446298957e-06
12,15.53442210138183,1.2274288913451744e-05,4.0093905062374377e-07
13,18.598866786353852,4.754997372310008e-06,1.1787022114002081e-07
14,22.267507034234487,1.8420381920233408e-06,3.465167761485044e-08
15,26.659328636851534,7.135760844747267e-07,1.01867995159651e-08
16,31.9166891800055,2.7642284243224136e-07,2.994630636924862e-09
17,38.209882668846014,1.0707743932425267e-07,8.803172312436828e-10
18,45.742584283558614,4.147730588390656e-08,2.5877581862644467e-10
19,54.75834002032678,1.6066058797939283e-08,7.60666816389489e-11
20,65.548294640425,6.2228839827100516e-09,2.2358817946705015e-11
21,78.46038402967557,2.410207049113619e-09,6.571788286914071e-12
22,93.91025485492577,9.334550604738536e-10,1.9315002707414922e-12
23,112.39421511417642,3.6149662401323526e-10,5.676463333577233e-13
24,134.5045631875649,1.3998493147776657e-10,1.668119710822226e-13
25,160.94768898496363,5.420232254306208e-11,4.9015820498973604e-14
26,192.56538636839625,2.098486193721481e-11,1.4401147482319297e-14
27,230.35985724051721,8.123373864695298e-12,4.230582788673818e-15
28,275.5229182649395,3.1441083607798697e-12,1.2426082862520082e-15
29,329.46993154050887,1.2166781956869779e-12,3.649099424784173e-16
30,393.878956433437,4.707115694538346e-13,1.0713672649068902e-16
31,470.7355404267342,1.8206043312580075e-13,3.144654624274925e-17
32,562.3834026692333,7.03938462818018e-14,9.227124562456332e-18
33,671.5809734832058,2.7207250931570224e-14,2.7063948586077625e-18
34,801.5632796918369,1.0510723205288536e-14,7.9344076046061405e-19
35,956.1079333801365,4.058255316093428e-15,2.324863179041812e-19
36,1139.602892023116,1.5658797548517886e-15,6.807590399668928e-20
