,A(H1N1)pdm09,A(H3N2),B
0,2.1742081318230286,2.137890747452154,2.158380955110324
1,2.1288805287376253,1.9867255311004024,2.0662355145482105
2,2.4982502046386283,2.2255064640611644,2.376522078806302
3,2.956639096940557,2.5144548710880312,2.75678033075134
4,3.501377769026395,2.842768004593965,3.1999456682178193
5,4.146603945525744,3.214044532314292,3.714462299139023
6,4.910712864976313,3.633797679282445,4.3116915319336195
7,5.815591743279145,4.108345814462526,5.004915903817851
8,6.887160729273646,4.644834009990876,5.809554245879391
9,8.156107952812778,5.251336785271727,6.743498491180225
10,9.658764402732936,5.9369780621,7.827508803430819
11,11.438138889572992,6.712066538252166,9.085671604040341
12,13.545141833823436,7.588248204046167,10.545930117191451
13,16.04003193966747,8.578678066581256,12.240698686749228
14,18.994125815430753,9.69821336371945,14.20757378925311
15,22.4918175957824,10.96363077516201,16.490156551119668
16,26.632963755021493,12.393870369934096,19.139003696563773
17,31.535697728665927,14.010309261516365,22.212726218787733
18,37.339749841960945,15.837068164091257,25.779257687642087
19,44.210360538553516,17.901354242018467,29.917316978859894
20,52.342889158694085,20.233843800107508,34.718093313769266
21,61.96823665337023,22.869108447253016,40.28718479094118
22,73.35921870327545,25.846088343119632,46.74682499473105
23,86.83804571072777,29.208615955990226,54.23843565284597
24,102.78508787117244,33.005993351245316,62.925546489032904
25,121.64912660384576,37.293625302989035,72.99712608416195
26,143.95931728547754,42.133709355317905,84.67136929298826
27,170.33911125173387,47.59598219607048,98.19998695783507
28,201.52240547127474,53.75851913809568,113.8730414647422
29,238.37220323223923,60.708579864623054,132.02436592979936
30,281.9020743180065,68.54348854573314,153.03759388662908
31,333.300692327128,77.37152954237484,177.35280812338064
32,393.9596913367107,87.31283064796308,205.4737889405622
33,465.5050120189494,98.500193521533,237.97579984397782
34,549.831782281263,111.07981486008717,275.5137877565454
35,649.1425777279585,125.2118210381408,318.8307891811973
36,765.988604233864,141.07051241174278,368.76621592905485
37,903.3129022649483,158.84418021675108,426.26353516771206
38,1064.4940451209125,178.73431806364437,492.37664853313515
39,1253.3879371785943,200.95400085057346,568.2740031383764
40,1474.3641528421233,225.7251465904846,655.2391233943489
41,1732.3317298674287,253.27431255662702,754.6658294960322
42,2032.7473882015472,283.8266097807575,868.0459059626833
43,2381.5967605936335,317.5972560434576,996.9464144691119
44,2785.336424083979,354.7802386031542,1142.9732439961147
45,3250.781444514515,395.5335421136216,1307.7169268390257
46,3784.9200879290993,439.9604409867931,1492.6763395406672
47,4394.634859109291,488.0864951575477,1699.1558381591756
48,5086.30798288908,539.8321697661618,1928.1319133312827
49,5865.291149130694,594.9814751599467,2180.0869435548548
50,6735.225535089528,653.1477443015376,2454.8104921068066
51,7697.210863124367,713.7386622078633,2751.1732550724146
52,8748.843592450627,775.9239236224291,3066.8855235327665
53,9883.175618480702,838.6103269580263,3398.2608402218693
54,11087.685595250668,900.4304997431632,3740.0157645643776
55,12343.40151189265,959.7524276522938,4085.146745041527
56,13624.357140228478,1014.7170149922815,4424.932347621531
57,14897.592922744465,1063.309457346782,4749.109803410194
