,A(H1N1)pdm09,A(H3N2),B
125,18250.0,0.0,0.0
126,0.0,0.0,4556.0
127,1151.0,1151.0,1151.0
128,2069.0,518.0,1552.0
129,5635.0,0.0,805.0
130,14809.0,0.0,2338.0
131,23275.0,0.0,5060.0
132,21909.0,0.0,8138.0
133,29642.0,442.0,5691.0
134,21808.0,0.0,7469.0
135,6848.0,0.0,944.0
136,21926.0,318.0,5402.0
137,6062.0,303.0,2425.0
138,10091.0,0.0,6728.0
139,4440.0,404.0,4035.0
140,2222.0,0.0,2856.0
141,1464.0,0.0,0.0
142,0.0,0.0,2348.0
143,0.0,0.0,448.0
144,472.0,0.0,2838.0
145,891.0,0.0,0.0
146,4933.0,0.0,0.0
147,3188.0,0.0,0.0
