,A(H1N1)pdm09,A(H3N2),B
0,19.1637320872024,47.567423878786215,11.282092658002728
1,998.7695671951749,7621.16753310212,283.8873812896937
2,46439.189558924125,1060238.2406265142,6474.106491880328
3,125730.6072511621,2327487.333177909,11395.611601566916
4,11732.152604895911,15783.30702664227,638.8019573797052
5,614.4664271512341,73.19571038941838,20.471586531631992
6,31.486303239942888,0.341648229270332,0.6406597462286814
7,1.6105923692673147,0.0015971663001053227,0.019994734044348702
8,0.0823796828114677,7.465844881685159e-06,0.0006238907743811757
9,0.004213653870311678,3.489398336142506e-08,1.946737000490868e-05
10,0.00021552533703411467,1.630692460601607e-10,6.074480289193369e-07
11,1.1023964804093567e-05,7.620179492535593e-13,1.8954461532269952e-08
12,5.638677948241319e-07,3.560788696870717e-15,5.914442270431178e-10
13,2.8841428118424938e-08,1.663883383291356e-17,1.845508862962209e-11
14,1.4752180977746323e-09,7.774961483294637e-20,5.758620660825093e-13
15,7.54563341020729e-11,3.633065813168778e-22,1.7968871652531967e-14
16,3.859536677845932e-12,1.697650222727339e-24,5.606904282731444e-16
17,1.9741249750487925e-13,7.93273885835244e-27,1.7495464514426504e-17
18,1.0097505846961933e-14,3.706791033747176e-29,5.459185018002235e-19
19,5.164800892451527e-16,1.7321003617419156e-31,1.7034529741246976e-20
20,2.641758139381902e-17,8.093716758770521e-34,5.315357558839782e-22
21,1.3512400985661085e-18,3.782012433192507e-36,1.658573873624687e-23
22,6.911494950102228e-20,1.767249642622812e-38,5.175319371874663e-25
23,3.535179461886842e-21,8.257961481622444e-41,1.61487715602121e-26
24,1.8082186152160454e-22,3.858760312560041e-43,5.038970625100791e-28
25,9.248906867853067e-24,1.8031122066837755e-45,1.5723316703041628e-29
26,4.730748678859226e-25,8.42553920571085e-48,4.906214116681874e-31
27,2.4197435850841623e-26,3.9370656270750257e-50,1.5309070861666266e-32
28,1.2376812667562524e-27,1.8397025250782514e-52,4.776955205657114e-34
29,6.330649774306899e-29,8.59651756248074e-55,1.4905738723826715e-35
30,3.2380813737261426e-30,4.016959981010737e-57,4.651101744472486e-37
31,1.6562551012419793e-31,1.877035365979661e-59,1.451303275754808e-38
32,8.471624532503425e-33,8.77096556050797e-62,4.5285640132895546e-40
33,4.33317441050577e-34,4.0984756205414205e-64,1.4130673006160787e-41
34,2.216387234800345e-35,1.9151257973015625e-66,4.4092546560249746e-43
35,1.1336659707663474e-36,8.948953608769871e-69,1.375838688872191e-44
36,5.7986190909883e-38,4.181645446202769e-71,4.293088618075109e-46
37,2.9659515438788805e-39,1.9539891927266368e-73,1.339590900569461e-47
38,1.5170626700258391e-40,9.130553545039488e-76,4.17998308568133e-49
39,7.759665357769285e-42,4.2665030261759603e-78,1.3042980949747082e-50
40,3.969012464299789e-43,1.993641237913566e-80,4.069857426892819e-52
41,2.0301210445878953e-44,9.31583866488418e-83,1.2699351121536242e-53
42,1.038392167510046e-45,4.353082609836824e-85,3.962633134084748e-55
43,5.311300508020164e-47,2.034097936828039e-87,1.236477455034473e-56
44,2.71669162857224e-48,9.50488375124859e-90,3.85823376799087e-58
45,1.3895680339701975e-49,4.441419141579268e-92,1.2039012719443405e-59
46,7.107539555553405e-51,2.075375618202108e-94,3.7565849032106396e-61
47,3.6354548535073575e-52,9.697765104637805e-97,1.1721833396054858e-62
48,1.859508749629623e-53,4.5315482749191734e-99,3.6576140751519866e-64
49,9.511252179663812e-55,2.1174909421246362e-101,1.1413010465796684e-65
50,4.864936400174413e-56,9.894560573913019e-104,3.561250728371939e-67
51,2.4883796297974454e-57,4.623506386884529e-106,1.1112323771486497e-68
52,1.272788105054956e-58,2.1604609067654734e-108,3.467426166278263e-70
53,6.510218702044482e-60,1.0095349587712083e-110,1.0819558956193777e-71
54,3.329929575875456e-61,4.717330592697549e-113,3.376073502156256e-73
55,1.7032347894561303e-62,2.204302855236088e-115,1.053450731042671e-74
56,8.711922225114863e-64,1.0300213186507743e-117,3.287127611485795e-76
57,4.456084934754389e-65,4.813058760754769e-120,1.0256965623344972e-77
58,2.279255075131623e-66,2.2490344825894268e-122,3.200525085514623e-79
59,1.1658224144238845e-67,1.0509234055316384e-124,9.986736037892512e-81
60,5.963096964452947e-69,4.910729527911103e-127,3.11620418605481e-82
61,3.0500807813889853e-70,2.2946738429618125e-129,9.723625909746953e-84
62,1.5600941638975842e-71,1.072249655707052e-131,3.034104801470132e-85
63,7.9797683231161e-73,5.010382315074068e-134,9.467447669985161e-87
64,4.081593532247027e-74,2.3412393568597785e-136,2.954168403823007e-88
65,2.0877054430541744e-75,1.0940086766668543e-138,9.218018691366956e-90
66,1.0678461690325513e-76,5.112057343114463e-141,2.8763380071504364e-91
67,5.461955586269486e-78,2.3887498185947684e-143,8.975161158141763e-93
68,2.793750606738473e-79,1.1162092505715411e-145,2.800558126839212e-94
69,1.4289831415459071e-80,5.215795649099919e-148,8.738701939285305e-96
70,7.309144967690251e-82,2.4372244038687106e-150,2.7267747400714126e-97
71,3.738574557353898e-83,1.1388603377968342e-152,8.508472465075994e-99
72,1.9122537290857326e-84,5.321639102857871e-155,2.654935247312009e-100
73,9.781038918187183e-86,2.4866826775135275e-157,8.284308606923043e-102
74,5.0029303571985945e-87,1.1619710805501793e-159,2.584988434811112e-103
75,2.558962536427387e-88,5.429630423874646e-162,8.066050560360634e-105
76,1.3088907490820282e-89,2.537144601387697e-164,2.516884438094137e-106
77,6.694881103747359e-91,1.1855508065606328e-166,7.853542731124677e-108
78,3.424383052959028e-92,5.539813198537476e-169,2.45057470641385e-109
79,1.751547056874441e-93,2.58863054243306e-171,7.646633624231041e-111
80,8.959035963557034e-95,1.2096090328436271e-173,2.3860119681389653e-112
81,4.582481816933681e-96,5.652231897726405e-176,7.445175735976079e-114
82,2.3439061622195404e-97,2.641161280895123e-178,2.3231501970546104e-115
83,1.1988909758439408e-98,1.2341554695421355e-180,7.249025448782524e-117
84,6.132240254016658e-100,5.76693189476319e-183,2.2619445795506356e-118
85,3.136596345344184e-101,2.6947580187101783e-185,7.058042928815763e-120
86,1.6043462464117233e-102,1.2592000238457814e-187,2.2023514826743804e-121
87,8.206114510705214e-104,5.883959483724417e-190,6.872092026297521e-123
88,4.1973679630204435e-105,2.749442388062617e-192,2.1443284230251245e-124
89,2.1469232234094601e-106,1.2847528039894848e-194,6.691040178445862e-126
90,1.0981356335263993e-107,6.003361898126276e-197,2.0878340364680367e-127
91,5.616883996929206e-109,2.805236460115895e-199,6.514758314972333e-129
92,2.8729953633911446e-110,1.310824123333241e-201,2.0328280486460447e-130
93,1.4695162589399376e-111,6.1251873299884756e-204,6.343120766068875e-132
94,7.516468918835592e-113,2.862162753920683e-206,1.9792712462685976e-133
95,3.8446192523638255e-114,1.3374245045247036e-208,6.176005172818917e-135
96,1.9664948202747819e-115,6.249484949285026e-211,1.9271254491568472e-136
97,1.0058478159547002e-116,2.9202442455037777e-213,6.013292399968767e-138
98,5.144838513835848e-118,1.3645646837462272e-215,1.8763534830253355e-139
99,2.631547527726674e-119,6.376304923789744e-218,5.854866450997118e-141
100,1.34601744487433e-120,2.9795043771414584e-220,1.8269191529807674e-142
101,6.884781455842279e-122,1.3922556150480986e-222,5.700614385422142e-144
102,3.5215157036196656e-123,6.505698439324464e-225,1.7787872177189862e-145
103,1.8012297021159069e-124,3.03996706682103e-227,5.5504262382872e-147
104,9.21315908502042e-126,1.420508474769707e-229,1.731923364401753e-148
105,4.712463947612176e-127,6.637717720418166e-232,5.404194941767783e-150
106,2.4103910778715604e-128,3.101656717894362e-234,1.6862941841954245e-151
107,1.2328975272536068e-129,1.44933466605042e-236,5.261816248843788e-153
108,6.306181294241642e-131,6.772416051385304e-239,1.6418671484540865e-154
109,3.225565923911772e-132,3.1645982289273214e-241,5.123188658982727e-156
110,1.6498535395741395e-133,1.4787458234320128e-243,1.5986105855301607e-157
111,8.438881009581784e-135,6.909847797831909e-246,4.98821334578087e-159
112,4.316426336380259e-136,3.228817003749101e-248,1.5564936581959674e-160
113,2.2078207165431345e-137,1.508753817554482e-250,4.856794086510776e-162
114,1.129284258904962e-138,7.050068428598096e-253,1.515486341660133e-163
115,5.776206953104806e-140,3.2943389617054453e-255,4.728837193524937e-165
116,2.954487898153214e-141,1.5393707599471578e-257,1.4755594021631735e-166
117,1.5111990985090687e-142,7.193134538145827e-260,4.604251447466671e-168
118,7.729673615390765e-144,3.361190548119967e-262,1.4366843761370066e-169
119,3.953671905933154e-145,1.570609007917039e-264,4.482948032240632e-171
120,2.0222744604171573e-146,7.33910386940104e-267,1.398833549913517e-172
121,1.0343786967042908e-147,3.4293987449677474e-269,4.364840471696595e-174
122,5.2907718963871945e-149,1.6024811695363264e-271,1.3619799399677274e-175
123,2.7061913928417845e-150,7.488035337059251e-274,4.249844567981355e-177
124,1.3841972396677682e-151,3.4989910817655302e-276,1.3260972736814752e-178
125,7.080068332830909e-153,1.6350001087311693e-278,4.1378783415148094e-180
126,3.6214035226357264e-154,7.639989051364126e-281,1.291159970613892e-181
127,1.8523215959576333e-155,3.569995646682916e-283,4.028861972547434e-183
128,9.474490410706336e-157,1.668178950473675e-285,1.2571431242653301e-184
129,4.846133022390107e-158,7.795026342368588e-288,3.922717744257466e-186
130,2.478761838648485e-159,3.6424410978790303e-290,1.2240224843217358e-187
131,1.2678686747458852e-160,1.7020310860792785e-292,3.819369987347268e-189
132,6.48505617336094e-162,7.953209784688242e-295,1.1917744393668105e-190
133,3.3170591252344e-163,3.716356675069242e-297,3.71874502609934e-192
134,1.6966516474441673e-164,1.7365701786116172e-299,1.1603760000496364e-193
135,8.678249931923019e-166,8.114603222757124e-302,3.620771125853536e-195
136,4.438861801382257e-167,3.791772211326619e-304,1.1298047826957717e-196
137,2.2704455675205955e-168,1.7718101683971157e-306,3.525378441868061e-198
138,1.1613164152730962e-169,8.279271796603024e-309,1.1000389933501194e-199
139,5.940049106112385e-171,3.868718131395e-311,3.4324989695277425e-201
140,3.038291969267401e-172,1.80776648323e-313,1.0710574122402075e-202
141,1.5540642721313103e-173,8.4461607e-316,3.342066495864153e-204
142,7.948925864742869e-175,3.9399e-318,1.0428393786488e-205
143,4.065817838828698e-176,0.0,3.2540165523529446e-207
144,2.0796362904653153e-177,0.0,1.0153647761850488e-208
145,1.0637188560976638e-178,0.0,3.1682863689548034e-210
146,5.440844680415495e-180,0.0,9.886140184436925e-212
147,2.7829525317437496e-181,0.0,3.0848148293672374e-213
148,1.4234600046233088e-182,0.0,9.625680350420822e-215
149,7.280894523531758e-184,0.0,3.00354242745529e-216
150,3.7241246603780205e-185,0.0,9.372082580250675e-218
151,1.9048627117466035e-186,0.0,2.924411224830139e-219
152,9.74323440138094e-188,0.0,9.125166086280654e-221
153,4.9835936214641635e-189,0.0,2.8473648095453174e-222
154,2.549071936561249e-190,0.0,8.884754843888643e-224
155,1.3038317790958029e-191,0.0,2.7723482558811315e-225
156,6.669004839751333e-193,0.0,8.650677465989838e-227
157,3.41114753189021e-194,0.0,2.699308085188593e-228
158,1.744777183990548e-195,0.0,8.42276708085636e-230
159,8.924408555519402e-197,0.0,2.6281922277649516e-231
160,4.5647701492558796e-198,0.0,8.20086121315587e-233
161,2.334846772859877e-199,0.0,2.5589499857336586e-234
162,1.1942571639938654e-200,0.0,7.984801668124308e-236
163,6.108538643003556e-202,0.0,2.491531996902291e-237
164,3.124473143479455e-203,0.0,7.774434418790223e-239
165,1.5981453167208374e-204,0.0,2.4258901995726747e-240
166,8.174397205771785e-206,0.0,7.569609496170277e-242
167,4.181144791941457e-207,0.0,2.3619777982781157e-243
168,2.1386251892476528e-208,0.0,7.370180882357684e-245
169,1.0938912493295443e-209,0.0,2.299749230423322e-246
170,5.595174280074307e-211,0.0,7.176006406427277e-248
171,2.8618910009192174e-212,0.0,2.2391601338032194e-249
172,1.4638364581976222e-213,0.0,6.986947643083129e-251
173,7.4874171506193e-215,0.0,2.1801673149775285e-252
174,3.8297594839531996e-216,0.0,6.802869813976328e-254
175,1.9588941566740844e-217,0.0,2.122728718478532e-255
176,1.0019601317341543e-218,0.0,6.623641691622693e-257
177,5.124953291449089e-220,0.0,2.0668033968300985e-258
178,2.621376380922077e-221,0.0,6.449135505851824e-260
179,1.3408149771669757e-222,0.0,2.012351481356583e-261
180,6.858171211426347e-224,0.0,6.2792268527208656e-263
181,3.507904756897698e-225,0.0,1.9593341537607927e-264
182,1.7942678017375208e-226,0.0,6.113794605828012e-266
183,9.177549470297327e-228,0.0,1.9077136184507645e-267
184,4.6942498883495104e-229,0.0,5.952720829962552e-269
185,2.401074718865609e-230,0.0,1.857453075595611e-270
186,1.228132277296083e-231,0.0,5.7958906970298815e-272
187,6.281807386856603e-233,0.0,1.8085166948912449e-273
188,3.2130988473363565e-234,0.0,5.6431924041915555e-275
189,1.6434767204666426e-235,0.0,1.760869590017266e-276
190,8.406264043058994e-237,0.0,5.4945170941620136e-278
191,4.299742994933456e-238,0.0,1.714477793766804e-279
192,2.1992873085808655e-239,0.0,5.349758777605167e-281
193,1.1249194827189257e-240,0.0,1.6693082338315954e-282
194,5.753881439970517e-242,0.0,5.208814257575524e-284
195,2.943068560357524e-243,0.0,1.6253287092250205e-285
196,1.5053581901766284e-244,0.0,5.071583055949982e-287
197,7.699797793553838e-246,0.0,1.5825078673263006e-288
198,3.9383906400814984e-247,0.0,4.9379673417978515e-290
199,2.0144582039371308e-248,0.0,1.5408151815294862e-291
200,1.0303807382920347e-249,0.0,4.807871861638031e-293
201,5.270322629520151e-251,0.0,1.5002209294813068e-294
202,2.69573174138274e-252,0.0,4.681203871533634e-296
203,1.3788472039253618e-253,0.0,1.4606961718923632e-297
204,7.052703288635029e-255,0.0,4.5578730709756364e-299
205,3.60740650130918e-256,0.0,1.422212731906557e-300
206,1.8451622212234496e-257,0.0,4.4377915385084326e-302
207,9.437870728997875e-259,0.0,1.3847431750140593e-303
208,4.8274023212015504e-260,0.0,4.320873669051379e-305
209,2.4691812210503273e-261,0.0,1.3482607894938081e-306
210,1.2629682584380216e-262,0.0,4.207036112897074e-308
211,6.459990899912396e-264,0.0,1.312739567532493e-309
212,3.3042384199395845e-265,0.0,4.0961976649474e-311
213,1.6900939498154555e-266,0.0,1.2781545355e-312
214,8.64470778490323e-268,0.0,3.988286906e-314
215,4.421705236831746e-269,0.0,1.24451592e-315
216,2.261670109378273e-270,0.0,3.8906513e-317
217,1.1568278321782147e-271,0.0,9.84974e-319
218,5.9170903296326846e-273,0.0,0.0
219,3.0265487218705577e-274,0.0,0.0
220,1.548057686390759e-275,0.0,0.0
221,7.918202614998259e-277,0.0,0.0
222,4.050103119757976e-278,0.0,0.0
223,2.0715983258123407e-279,0.0,0.0
224,1.0596074955654323e-280,0.0,0.0
225,5.419815369942306e-282,0.0,0.0
226,2.7721961921935987e-283,0.0,0.0
227,1.4179582150774432e-284,0.0,0.0
228,7.252753269654578e-286,0.0,0.0
229,3.709730613437873e-287,0.0,0.0
230,1.8975002612950574e-288,0.0,0.0
231,9.705576002129589e-290,0.0,0.0
232,4.9643316237976604e-291,0.0,0.0
233,2.5392195646739594e-292,0.0,0.0
