,A(H1N1)pdm09,A(H3N2),B
0,2.1637509072721075,1.4593091053457468,1.148795402817392
1,2.087371433561429,0.2906479397256633,0.03465663696588326
2,2.417327753856424,0.08601816898022675,0.002081472140332162
3,2.8233421251149573,0.025625820335772365,0.00012706790852638148
4,3.2996806276901833,0.007640034153752698,7.732377906126058e-06
5,3.856508532534928,0.0022778947659953803,4.703281579316649e-07
6,4.507298416971007,0.0006791590997089827,2.8607926539469173e-08
7,5.267895373723592,0.00020249234164111733,1.7400970526769613e-09
8,6.1568214123049145,6.037328910819944e-05,1.0584249261831204e-10
9,7.195721081564223,1.800031439725827e-05,6.437921887915133e-12
10,8.409886915264167,5.366785029736283e-06,3.9158877706416505e-13
11,9.828873280766778,1.6000994301744913e-06,2.3818448901945168e-14
12,11.487213164848114,4.770656831579851e-07,1.4487558556902344e-15
13,13.425255022052509,1.4223535356786472e-07,8.812013752540532e-17
14,15.690139616815365,4.240673141881943e-08,5.359855283049318e-18
15,18.33694003269679,1.2643273889319284e-08,3.2600821866466442e-19
16,21.42999176745771,3.769479404898078e-09,1.982901832261627e-20
17,25.044444149985562,1.1238278587280258e-09,1.2060646381654522e-21
18,29.26806927880748,3.3505355289141117e-10,7.335607791594638e-23
19,34.203370371409896,9.989045798511775e-11,4.461666674772609e-24
20,39.970037910756545,2.97802499631691e-11,2.713644050944304e-25
21,46.70780936145763,8.878228393872132e-12,1.6504504611212256e-26
22,54.57979657813599,2.646773973201328e-12,1.0037947588239636e-27
23,63.77635440375406,7.890394418223142e-13,6.104905717404047e-29
24,74.51957439128354,2.3521792916360684e-13,3.712813986506745e-30
25,87.06849907063187,7.01181216684104e-14,2.2579585349312965e-31
26,101.7251646498783,2.0901443014063658e-14,1.3731416611374764e-32
27,118.84159331081538,6.230258694999028e-15,8.350242383241744e-34
28,138.82787001158,1.8570216990792392e-15,5.077670838085903e-35
29,162.16145241076947,5.53484910243022e-16,3.087512015211404e-36
30,189.39787534705493,1.6495625430937166e-16,1.8772747101119652e-37
31,221.18302200089067,4.9158842406273253e-17,1.1413474534866694e-38
32,258.2671406165897,1.4648707572410316e-17,6.9386327347616785e-40
33,301.52078588818745,4.364714780077887e-18,4.217840997965802e-41
34,351.95285419140134,1.3003625152177488e-18,2.5636582392165324e-42
35,410.7308567890305,3.8736198607514e-19,1.5580303590644227e-43
36,479.20352817754593,1.153729991191161e-19,9.467351881428593e-45
37,558.9257888218859,3.435698852277403e-20,5.751847994462775e-46
38,651.685960716731,1.0229090629794593e-20,3.4938180731453737e-47
39,759.534955077553,3.044775098386791e-21,2.1217435844363293e-48
40,884.8168944182469,9.060506760429917e-22,1.2881564830784734e-49
41,1030.2002720729351,2.6953109523577623e-22,7.818225034430215e-51
42,1198.7082618037045,8.014957322578688e-23,4.7433931911776024e-52
43,1393.7461351493714,2.382333977266429e-23,2.8766400834262614e-53
44,1619.122888759173,7.077535749356e-24,1.7436820521997045e-54
45,1879.0630936475432,2.101374944131462e-24,1.0563301249260284e-55
46,2178.2036271545358,6.234844178854102e-25,6.395028845746259e-57
47,2521.568330920975,1.848419254922044e-25,3.868562519162025e-58
48,2914.511787950642,5.474864168504803e-26,2.3381260792341434e-59
49,3362.621428490501,1.619874616899953e-26,1.4116812090123713e-60
50,3871.5652604765646,4.78688473358995e-27,8.513072751814549e-62
51,4446.8710265518575,1.4125589793022273e-27,5.126702839186656e-63
52,5093.622065143016,4.161501705963798e-28,3.082497309714143e-64
53,5816.056386527256,1.223713288199144e-28,1.850032866563299e-65
54,6617.059505303117,3.5907017330285725e-29,1.1080408967182907e-66
55,7497.549629631179,1.051042208470032e-29,6.6207419166171e-68
56,8455.767140687532,3.0680342913366525e-30,3.945428685087482e-69
57,9486.499807082042,8.927804486915184e-31,2.3440557330027504e-70
58,10580.300858038541,2.5888481270557164e-31,1.387923202714813e-71
59,11722.787192740261,7.477702586868335e-32,8.186789560138533e-73
60,12894.135439336042,2.1505185678745943e-32,4.808735009518377e-74
61,14068.917071394162,6.1551656564777866e-33,2.8114461499985926e-75
62,15216.420356733974,1.7525257566151242e-33,1.6353896059089348e-76
63,16301.585472457748,4.961660439725895e-34,9.460605063692666e-78
64,17286.620898340258,1.3961959219471334e-34,5.440574553482501e-79
65,18133.272510512274,3.903517325115775e-35,3.1091021404758988e-80
66,18805.59169773032,1.0839550599441442e-35,1.7650059604621363e-81
67,19272.91914785621,2.988781389242115e-36,9.950874108726173e-83
68,19512.701084920387,8.181248193427604e-37,5.570505336588437e-84
69,19512.720129404457,2.2229974036262647e-37,3.095966728660724e-85
70,19272.376646314646,5.995739456558172e-38,1.708261670136798e-86
71,18802.79715085799,1.6053176380021453e-38,9.358274374375954e-88
72,18125.744630622536,4.2673853784029874e-39,5.0907855281850536e-89
73,17271.511772294707,1.1265454190809546e-39,2.750555481919536e-90
74,16276.139108844742,2.954304117030396e-40,1.4764937466459141e-91
75,15178.378656083929,7.699096175357381e-41,7.877201586057157e-93
76,14016.80961160335,1.9947072320506625e-41,4.17843276699903e-94
77,12827.42337385835,5.1399906751954086e-42,2.2046524182591263e-95
78,11641.86488834929,1.317905143466453e-42,1.157557219857696e-96
79,10486.383470736013,3.363877426980183e-43,6.050785087866726e-98
80,9381.437372800927,8.551100014952367e-44,3.1501817948516702e-99
81,8341.82680662501,2.165776998375128e-44,1.6341603903932516e-100
82,7377.200805015027,5.467507046135982e-45,8.450056863274604e-102
83,6492.786066344925,1.3762926532103123e-45,4.35702005261756e-103
84,5690.209052124981,3.4556281899843533e-46,2.240943265358089e-104
85,4968.31483128696,8.657121818819428e-47,1.1500502587003789e-105
86,4323.919030383595,2.1645744959559504e-47,5.890710074818504e-107
87,3752.4576524085933,5.4029794718962096e-48,3.012249302201639e-108
88,3248.5212689506006,1.3466444700971808e-48,1.538091598810598e-109
89,2806.2749841406944,3.3521016403459315e-49,7.843789931416258e-111
90,2419.774552526588,8.334918076589399e-50,3.995732386616034e-112
91,2083.193486845908,2.0704814188758902e-50,2.033566916532404e-113
92,1790.977305715351,5.139071257036682e-51,1.0341149115945114e-114
93,1537.9404250625907,1.2746506297212332e-51,5.255046942405592e-116
94,1319.3194853666207,3.1596150429868744e-52,2.6688521271902802e-117
95,1130.7947487261754,7.828004407941275e-53,1.3547195783992914e-118
96,968.4889872186169,1.9385370114758158e-53,6.873581748277678e-120
97,828.951239106904,4.798782548247136e-54,3.486205637808247e-121
98,709.1310379284906,1.1875335383994035e-54,1.7675946336539503e-122
99,606.3472532179816,2.937913920502109e-55,8.959677353269757e-124
100,518.254509657835,7.266549505885832e-56,4.5404559231217085e-125
101,442.8092412173666,1.7969189752849174e-56,2.300482057257279e-126
102,378.23674739387286,4.442759229976852e-57,1.1653685382645477e-127
103,323.00010855157643,1.0982776849800445e-57,5.902604761846915e-129
104,275.77144868457987,2.714664192764186e-58,2.989299572127301e-130
105,235.4057741773486,6.709230988222537e-59,1.5137302482928204e-131
106,200.91743951223128,1.6580169800483658e-59,7.664568031645289e-133
107,171.45917399242785,4.0970448772156035e-60,3.880546210850883e-134
108,146.30353074715615,1.0123321751300536e-60,1.9645767684636768e-135
109,124.82657783746711,2.5012105307089426e-61,9.945356963804581e-137
110,106.49363163537689,6.179538342248837e-62,5.034433517357338e-138
111,90.84682775189795,1.5266642467304694e-62,2.5483719219751878e-139
112,77.49432951210918,3.7715115736934803e-63,1.289910650483539e-140
113,66.10098464772085,9.316956175330252e-64,6.528949700437321e-142
114,56.38025491996894,2.30155476927489e-64,3.304576597995558e-143
115,48.08725902216764,5.6853721469973164e-65,1.6725487124780852e-144
116,41.01278515085764,1.4043916105259542e-65,8.465129065440038e-146
117,34.9781453063954,3.4690496460158205e-66,4.2843155209397174e-147
118,29.83075821474449,8.568934032938204e-67,2.168320055180617e-148
119,25.440361486174982,2.1165959609168974e-67,1.097388170188453e-149
120,21.695766119163675,5.2281105156739315e-68,5.553833467728871e-151
121,18.502077688912944,1.2913614913002575e-68,2.8107470140151655e-152
122,15.778318560061933,3.189684495901859e-69,1.4224844554222398e-153
123,13.455394299768479,7.878524951584121e-70,7.198974385261037e-155
124,11.474355228360473,1.9459863621370288e-70,3.643270762695318e-156
125,9.784910827586797,4.8065415412124655e-71,1.843785204269136e-157
126,8.344160630610371,1.1872001100184242e-71,9.330986163440562e-159
127,7.115510340123943,2.932335943572174e-72,4.722188857467578e-160
128,6.067746352712652,7.242730041178427e-73,2.3897801732301465e-161
129,5.1742456931888166,1.7889155145948716e-73,1.209404353610568e-162
130,4.412301658710263,4.418516436348316e-74,6.120462273426397e-164
131,3.762548307833823,1.0913457504765518e-74,3.097392023838717e-165
132,3.2084693653930647,2.69555130749567e-75,1.5674997808953852e-166
133,2.735979204185346,6.657823731101248e-76,7.932649370595759e-168
134,2.333065356251539,1.6444342488768975e-76,4.014473218063986e-169
135,1.9894835413715304,4.061629767165091e-77,2.031601272534072e-170
136,1.6964975142363532,1.0031914260911555e-77,1.0281300445101358e-171
137,1.4466571557682775,2.4778042810398635e-78,5.2030420702614525e-173
138,1.233609195200648,6.119979083447525e-79,2.633094097089749e-174
139,1.0519357710591999,1.5115853179001685e-79,1.3325245299115852e-175
140,0.897016741138007,3.733491882999338e-80,6.743476795525528e-177
141,0.7649122511621195,9.22141577653857e-81,3.412654879038181e-178
142,0.6522625838692206,2.2776126446277093e-81,1.727033428390226e-179
143,0.5562027474158121,5.625511469391573e-82,8.739951181190073e-181
144,0.47428963519733414,1.3894536636547948e-82,4.4230024054796565e-182
145,0.4044399076825314,3.431832166745159e-83,2.238335919157886e-183
146,0.3448770186737951,8.476331702135225e-84,1.1327479475454035e-184
147,0.29408604033783114,2.0935810913574584e-84,5.732462804700497e-186
148,0.25077513923646555,5.170964788305944e-85,2.9010095414267264e-187
149,0.21384272440982408,1.2771835923510449e-85,1.4681046913242604e-188
150,0.18234943258184866,3.1545327757378386e-86,7.429590196695748e-190
151,0.1554942384082549,7.79142198156837e-87,3.75986854968887e-191
152,0.1325940824754613,1.9244134418431057e-87,1.90274433440622e-192
153,0.11306649913730887,4.7531335227482645e-88,9.629155293767337e-194
154,0.09641480250792785,1.173982512496076e-88,4.872994543018087e-195
155,0.0822154539456098,2.899634273947757e-89,2.4660600228172333e-196
156,0.07010728981245291,7.161843179023762e-90,1.247990693909134e-197
157,0.05978233558441332,1.7689126094408274e-90,6.315664319165393e-199
158,0.05097797271626932,4.3690592877847155e-91,3.196146818813598e-200
159,0.04347025905966211,1.0791193738827801e-91,1.6174631468827464e-201
160,0.03706823296316305,2.665330283650575e-92,8.185440580433404e-203
161,0.03160905619620106,6.583132124942222e-93,4.1423779364862486e-204
162,0.026953872169101258,1.6259758987021988e-93,2.096319017719153e-205
163,0.02298427411141815,4.0160178237586883e-94,1.0608769757948813e-206
164,0.0195992933824535,9.91921161137199e-95,5.368743679616701e-208
165,0.016712831315577506,2.4499582060330463e-95,2.7169416562676e-209
166,0.014251469277959072,6.051181693487364e-96,1.3749533142134372e-210
167,0.012152601246310294,1.4945887481326783e-96,6.958178882489803e-212
