,A(H1N1)pdm09,A(H3N2),B
0,2.2010159259370554,1.3413681558143964,1.115695934507068
1,2.2374484586062313,0.16089705371088175,0.022602645296509204
2,2.7148635360854807,0.031090174938578886,0.0009570367917129338
3,3.3218913105831347,0.006038513588410579,4.1671198240867354e-05
4,4.067230185023872,0.001173309444219052,1.8064617021329824e-06
5,4.979960570646062,0.00022799331297594804,7.823225137392037e-08
6,6.09750835163416,4.430289082143742e-05,3.3877345671876713e-09
7,7.465816137015674,8.608774302135434e-06,1.4670163780023603e-10
8,9.141136052348582,1.672822458070116e-06,6.352733914060927e-12
9,11.192332450402027,3.250554896152995e-07,2.7509665363319424e-13
10,13.703705798921142,6.316319508087722e-08,1.191265318869362e-14
11,16.77844746937126,1.2273526573267312e-08,5.158576902902714e-16
12,20.542865138406135,2.384915749061936e-09,2.233824980038929e-17
13,25.151549373330212,4.6341997960773296e-10,9.673100771343028e-19
14,30.79368908257472,9.004799843025963e-11,4.188697700399201e-20
15,37.70078835469753,1.7497275616919655e-11,1.8137955405686434e-21
16,46.156091238100984,3.399876965977244e-12,7.854033521134607e-23
17,56.506085855019336,6.606197619895287e-13,3.400879024631358e-24
18,69.17453667462978,1.283614234089777e-13,1.472591489579412e-25
19,84.67958564856133,2.4940828774332695e-14,6.376236471405928e-27
20,103.6545710375561,4.8459524641881084e-15,2.7608038918412135e-28
21,126.87333863158011,9.41537275879461e-16,1.1953449599868759e-29
22,155.28096448558648,1.8292950957471637e-16,5.175287624810667e-31
23,190.0309707042873,3.553981729489912e-17,2.240554863531881e-32
24,232.53029328163166,6.904440032644455e-18,9.69955969154305e-34
25,284.4934466588246,1.3412802334345091e-18,4.198733292967489e-35
26,348.00751031734103,2.6054540307427153e-19,1.8173879578829106e-36
27,425.60971534569995,5.060740492166071e-20,7.86559986964765e-38
28,520.3794955244615,9.828880859058151e-21,3.403774875267217e-39
29,636.0468277842524,1.908729441186814e-21,1.4727271091555233e-40
30,777.1184280979232,3.706157954978491e-22,6.370905944011189e-42
31,949.022751755701,7.194974418200322e-23,2.755365712565801e-43
32,1158.2735678694414,1.3965096496242654e-23,1.1913356210691693e-44
33,1412.6498466392427,2.709867139036053e-24,5.149186807340198e-46
34,1721.386413253827,5.256747655042557e-25,2.2246401051594483e-47
35,2095.364750659822,1.0193465183571269e-25,9.606326547722268e-49
36,2547.2858012576025,1.975724649140339e-26,4.1455558734614223e-50
37,3091.7958400446496,3.827257497083539e-27,1.787628440828859e-51
38,3745.5216766377407,7.408898072176428e-28,7.701404169863067e-53
39,4526.95203370339,1.4330514314372765e-28,3.314176199650557e-54
40,5456.0780951356155,2.7690927026535963e-29,1.4242702419980688e-55
41,6553.679594664942,5.3443143543342044e-30,6.110813760933404e-57
42,7840.117887195612,1.029960076012703e-30,2.6166886905958166e-58
43,9333.483153237645,1.981525788311513e-31,1.1178485757813103e-59
44,11046.9544518889,3.804409469342195e-32,4.7620708803546966e-61
45,12985.291207486325,7.286502669671314e-33,2.0219261171748325e-62
46,15140.510705411802,1.3915856820938764e-33,8.551365622059045e-64
47,17487.043744023784,2.6488263544671067e-34,3.6001529219113767e-65
48,19977.005969093985,5.02255921977904e-35,1.5076808330313863e-66
49,22536.635921603825,9.481697361578453e-36,6.275777993341539e-68
50,25065.317745460434,1.7811111590575597e-36,2.594479884883759e-69
51,27438.72651882428,3.3273381898218566e-37,1.064421199156478e-70
52,29517.262636547202,6.178390466862634e-38,4.33042237317209e-72
53,31159.908709334326,1.1397916991798614e-38,1.7458594893756978e-73
54,32242.02864214793,2.0882757453796328e-39,6.971306995808942e-75
55,32673.893984804876,3.798884984328673e-40,2.756011142593479e-76
56,32415.63388510434,6.860979270817453e-41,1.0785274074900799e-77
57,31484.581886256507,1.2302672700223483e-41,4.1781027548042507e-79
58,29952.823585930768,2.190698426031116e-42,1.6026218192130346e-80
59,27935.52866785206,3.87507237888527e-43,6.089436985103819e-82
60,25573.22485849882,6.812125030489175e-44,2.2933850900596225e-83
61,23012.484115214484,1.190738060214339e-44,8.567245732494513e-85
62,20389.17249278969,2.0707407207867678e-45,3.176959926344926e-86
63,17816.88856151022,3.584782303614104e-46,1.1704229121376814e-87
64,15381.321792217404,6.181228598684837e-47,4.2873115998338504e-89
65,13139.746009125607,1.0621759487897964e-47,1.5626901227602407e-90
66,11124.070644676245,1.8198856743744622e-48,5.671735110904721e-92
67,9345.760046973444,3.1103735211603173e-49,2.0511344532241136e-93
68,7801.246811997565,5.304859105097659e-50,7.39529270815108e-95
69,6476.937903837212,9.031868885063412e-51,2.659596345583566e-96
70,5353.354670173978,1.535508517965706e-51,9.544671719592924e-98
71,4408.2737279384,2.6073939846183737e-52,3.4193941644928646e-99
72,3618.9328818217964,4.423159879661679e-53,1.2232448160732748e-100
73,2963.459745717699,7.497333172803873e-54,4.3708411806115115e-102
74,2421.7055485179562,1.2699682105308667e-54,1.5602590077714025e-103
75,1975.6533849712491,2.1500244387715395e-55,5.565254374557183e-105
76,1609.540541480222,3.6383276219404952e-56,1.9837782607510022e-106
77,1309.8014543196482,6.154654276842695e-57,7.067614893870395e-108
78,1064.9079019039023,1.0408259627595707e-57,2.516904581189007e-109
79,865.1587059976971,1.7597419256889554e-58,8.960030158540912e-111
80,702.4528142149795,2.9746486872149584e-59,3.1888153378686e-112
81,570.0664314830132,5.027522750131338e-60,1.1346176438471424e-113
82,462.44580237709897,8.496047783226075e-61,4.036349340457552e-115
83,375.02127504161683,1.4356046497297439e-61,1.4356953325045696e-116
84,304.04451536066955,2.425583777135324e-62,5.106020678578102e-118
85,246.44849660759073,4.097963825300485e-63,1.8157651102641976e-119
86,199.72865520929543,6.923026322893257e-64,6.456568456193152e-121
87,161.84301598842154,1.1695112730197105e-64,2.2957018458553775e-122
88,131.12890207612946,1.975591253652236e-65,8.162180934259915e-124
89,106.2338900053431,3.3371599162000836e-66,2.901872489369536e-125
90,86.05884184796157,5.6369814499152117e-67,1.0316570303525688e-126
91,69.71107603766927,9.521553660205202e-68,3.667584543987498e-128
92,56.46598574321171,1.6082821802575466e-68,1.3038121466573299e-129
93,45.7356547460076,2.7165092395001597e-69,4.634916239779013e-131
94,37.04324324644628,4.588340854448867e-70,1.6476397481032512e-132
95,30.002114268509768,7.7499081417584e-71,5.85702891908357e-134
96,24.298843855892446,1.308984541301745e-71,2.0820359023328872e-135
97,19.679405887389187,2.2109051746233886e-72,7.401088680756742e-137
98,15.937947126463913,3.734253526253346e-73,2.6308749521707726e-138
99,12.907672623306219,6.307190269620346e-74,9.351957836898405e-140
100,10.453448488036306,1.0652874470230604e-74,3.324321668628992e-141
101,8.465800922386157,1.7992713687465843e-75,1.1816859058342623e-142
102,6.856049581263502,3.038965048362382e-76,4.2004891592424505e-144
103,5.5523619105946755,5.132796830699546e-77,1.4931268553942397e-145
104,4.49655486974991,8.669257497999395e-78,5.307533652816122e-147
105,3.641502926017019,1.4642299769621755e-78,1.8866362184369644e-148
106,2.949037694250645,2.4730695526554897e-79,6.706301294810316e-150
107,2.3882461638908135,4.1769865850847776e-80,2.3838423767994717e-151
