,A(H1N1)pdm09,A(H3N2),B
57,0.0,1030.0,0.0
58,309.0,929.0,0.0
59,1971.0,1971.0,0.0
60,6329.0,635.0,0.0
61,5192.0,0.0,0.0
62,7486.0,0.0,0.0
63,4052.0,0.0,0.0
64,16329.0,0.0,1749.0
65,37675.0,254.0,324.0
66,62277.0,201.0,2403.0
67,36748.0,0.0,3969.0
68,19974.0,352.0,2700.0
69,12778.0,0.0,2129.0
70,8512.0,294.0,462.0
71,12115.0,0.0,8569.0
72,6948.0,0.0,1588.0
73,5011.0,1054.0,3389.0
74,4922.0,1407.0,4352.0
75,2478.0,0.0,6694.0
76,610.0,1824.0,5545.0
77,0.0,0.0,17765.0
78,0.0,693.0,9023.0
79,0.0,1025.0,18463.0
80,0.0,1045.0,5221.0
81,0.0,0.0,5752.0
82,0.0,0.0,4147.0
83,0.0,0.0,1528.0
84,0.0,0.0,2267.0
