,A(H1N1)pdm09,A(H3N2),B
30,0.0,1030.0,0.0
31,309.0,929.0,0.0
32,1971.0,1971.0,0.0
33,6329.0,635.0,0.0
34,5192.0,0.0,0.0
35,7486.0,0.0,0.0
36,4052.0,0.0,0.0
37,16329.0,0.0,1749.0
38,37675.0,254.0,324.0
39,62277.0,201.0,2403.0
40,36748.0,0.0,3969.0
41,19974.0,352.0,2700.0
42,12778.0,0.0,2129.0
43,8512.0,294.0,462.0
44,12115.0,0.0,8569.0
45,6948.0,0.0,1588.0
46,5011.0,1054.0,3389.0
47,4922.0,1407.0,4352.0
48,2478.0,0.0,6694.0
49,610.0,1824.0,5545.0
50,0.0,0.0,17765.0
51,0.0,693.0,9023.0
52,0.0,1025.0,18463.0
53,0.0,1045.0,5221.0
54,0.0,0.0,5752.0
55,0.0,0.0,4147.0
56,0.0,0.0,1528.0
57,0.0,0.0,2267.0
