,A(H1N1)pdm09,A(H3N2),B
0,2.1382001254525806,1.134168612551844,2.0962435823488574
1,1.9879137952235109,0.02900585834802389,1.8306130374999996
2,2.2277370751714773,0.0015085819771338055,1.9405451886476688
3,2.5179927384500638,8.00891694546025e-05,2.075029773049096
4,2.8479229313784327,4.235947731249857e-06,2.220308081652372
5,3.221185316340034,2.2389777538390113e-07,2.3758327781923945
6,3.6433641041976164,1.1834163393552888e-08,2.5422481449523757
7,4.120861869828159,6.25500091668641e-10,2.720312120637969
8,4.660923522374464,3.306106152409389e-11,2.910838579228116
9,5.271742074390581,1.7474516701322955e-12,3.1146981162371237
10,5.962582286297366,9.236179487739244e-14,3.3328218491807906
11,6.7439205513123355,4.881780416077416e-15,3.5662055708388993
12,7.627602955663676,2.5802551917809474e-16,3.8159141769907197
13,8.627023850177995,1.3637835961876714e-17,4.08308638433171
14,9.757327566127387,7.2081939929551e-19,4.368939755457707
15,11.035636237675265,3.809828890489612e-20,4.674776047938325
16,12.481307062028808,2.0136419525582878e-21,5.001986904765347
17,14.11622274024326,1.0642816003895644e-22,5.35205990360116
18,15.965119300678227,5.625072158057153e-24,5.726584982191662
19,18.05595601771472,2.973011341783649e-25,6.127261256988094
20,20.42033270491187,1.5713090195938666e-26,6.555904251374033
21,23.093960288659837,8.304678272990817e-28,7.014453548833301
22,26.117191259677305,4.389143160057353e-29,7.504980884820103
23,29.53561735902646,2.3197004393127136e-30,8.029698688881325
24,33.40074268546567,1.2259668446074182e-31,8.590969085583964
25,37.77074131344229,6.479173003007363e-33,9.19131335883923
26,42.71130948547102,3.4241576320140306e-34,9.833421879073626
27,48.29662348600027,1.8095910824976678e-35,10.520164486118297
28,54.61041540938068,9.56310172424381e-37,11.25460131236203
29,61.747180190407946,5.053679864839362e-38,12.039994020271392
30,69.8135284535324,2.6705835619081703e-39,12.879817415384581
31,78.92970092864569,1.411213869876782e-40,13.777771379811288
32,89.23126133801958,7.457036876599827e-42,14.737793051502042
33,100.87098572580973,3.940260418780564e-43,15.764069150358358
34,114.02096710410228,2.0819338762431163e-44,16.86104832278415
35,128.8749549280268,1.0999938870095187e-45,18.033453340529125
36,145.6509491550904,5.811559037894697e-47,19.286292946484203
37,164.59406831817762,3.0702341696656275e-48,20.624873088114974
38,185.97970992447313,1.6218993920530986e-49,22.054807216925038
39,210.11701929786605,8.567352195739015e-51,23.58202525798296
40,237.35267934684327,4.525181027004009e-52,25.212780765169477
