,A(H1N1)pdm09,A(H3N2),B
0,2.1997278615081832,1.0515682065867364,1.0627003679096496
1,2.2321616975075873,0.006481507013035689,0.008620352945702249
2,2.7041527629091493,9.000878902200993e-05,0.00015654305369384688
3,3.3035524504537337,1.3689523254033076e-06,3.0589624156852496e-06
4,4.0383830156595995,2.0815719693142614e-08,5.95981284920845e-08
5,4.936827211623459,3.1543013566942967e-10,1.1576821719810509e-09
6,6.0351499670300965,4.7745772401973225e-12,2.2471102642241514e-11
7,7.37780290954961,7.225561050236113e-14,4.361273937614632e-13
8,9.019128833336971,1.0934445282616429e-15,8.464473854249499e-15
9,11.0255526951367,1.654707780801075e-17,1.642807170634426e-16
10,13.47826506756915,2.5040619078155924e-19,3.1883951829576602e-18
11,16.476500763107207,3.7893718753263806e-21,6.188080605270277e-20
12,20.141543677221847,5.73439024424495e-23,1.2009849593994519e-21
13,24.621617813818666,8.677699184952092e-25,2.330861460903128e-23
14,30.097859261953204,1.313163087086761e-26,4.523681675331269e-25
15,36.79160604299191,1.9871412675732952e-28,8.779374148590703e-27
16,44.973293692472346,3.0070034819267504e-30,1.7038451503352644e-28
17,54.973305850632684,4.550227853340102e-32,3.306668277253599e-30
18,67.19520291073863,6.8853346733195886e-34,6.417172740504953e-32
19,82.13184002978849,1.0418568168312958e-35,1.2453395448774484e-33
20,100.38499081706297,1.5764496657510657e-37,2.4166889915461823e-35
21,122.68921710357392,2.3852771225490148e-39,4.689647771713661e-37
22,149.94087051651235,3.608953415167385e-41,9.100036995998321e-39
23,183.23327976816773,5.460140116517624e-43,1.7657364835754585e-40
24,223.89936913090634,8.26041664156082e-45,3.4259730065625546e-42
25,273.5631669607453,1.249598133762064e-46,6.646787846260957e-44
26,334.20189328159586,1.8901768152456574e-48,1.2894450474577253e-45
27,408.2205515320398,2.858841544433341e-50,2.5012023512732465e-47
28,498.54117171027326,4.323380769382319e-52,4.85109533301292e-49
29,608.7090264583012,6.537182790851444e-54,9.407269925867797e-51
30,743.0182131777084,9.882728428147783e-56,1.8239182218040178e-52
31,906.6588780651649,1.4937032291333237e-57,3.535468446515258e-54
32,1105.8879210747598,2.2569983033089875e-59,6.851195187266031e-56
33,1348.2240698919354,3.409189044876283e-61,1.3272006999827795e-57
34,1642.6664645410085,5.147443746622385e-63,2.5699521376483484e-59
35,1999.9329553245086,7.768078129408618e-65,4.9738406950263935e-61
36,2432.709643168868,1.171573100059747e-66,9.620304714064586e-63
37,2955.8960718271883,1.765636513260419e-68,1.8593338510315904e-64
38,3586.8200342797663,2.658517141816529e-70,3.590266578487411e-66
39,4345.381181986508,3.998522606530875e-72,6.924864724970794e-68
40,5254.062568636968,6.0059270418411305e-74,1.3338538414483238e-69
41,6337.723357257486,9.00656406619886e-76,2.5650394778613776e-71
42,7623.054665947039,1.3480042734675725e-77,4.922901687824438e-73
43,9137.54658979745,2.0128127070185735e-79,9.425711284657105e-75
44,10907.78432296513,2.997028735896794e-81,1.799557161880584e-76
45,12956.877521452012,4.4474796536682685e-83,3.4239902548004877e-78
46,15300.85023043069,6.573453858431337e-85,6.488316875735539e-80
47,17943.90836885223,9.669612574103232e-87,1.2235991364188883e-81
48,20872.693067385553,1.4144782456229874e-88,2.294483556555143e-83
49,24049.95073624997,2.0556472663969266e-90,4.274225677235365e-85
50,27408.50594877659,2.9649723125459745e-92,7.901426010902553e-87
51,30846.94996263075,4.239708237411089e-94,1.4479264484721425e-88
52,34228.8979261097,6.003431300696128e-96,2.627116131585982e-90
53,37387.759798713036,8.408436803351379e-98,4.714130531699899e-92
54,40138.41034740433,1.1636121772256602e-99,8.356664650816244e-94
55,42295.745150810806,1.5894640514581186e-101,1.4619774572556654e-95
56,43698.018903314696,2.141356473311297e-103,2.5221287415352814e-97
57,44230.70031112322,2.843602095812467e-105,4.288012553805179e-99
58,43845.316423771845,3.720963880218185e-107,7.182429496359256e-101
59,42568.260596238615,4.797830908715429e-109,1.1852502892365246e-102
60,40496.96547497451,6.0976899759180744e-111,1.927536284488308e-104
61,37784.378971510225,7.643056590674691e-113,3.09102865326234e-106
62,34615.875476316476,9.455926612360631e-115,4.891818474629841e-108
63,31184.306008782412,1.1558694589045081e-116,7.647906725365087e-110
64,27668.426001423886,1.3975399081702565e-118,1.1825214452079458e-111
65,24217.99247100402,1.6733123593466043e-120,1.8104337639718477e-113
66,20946.43988934155,1.986340307211256e-122,2.74774307498863e-115
67,17930.140620066435,2.3403540109930595e-124,4.138879753383015e-117
68,15212.25561593624,2.7397796712315523e-126,6.193884160854515e-119
69,12809.029850401072,3.189847815625318e-128,9.217983198935366e-121
70,10716.775015474333,3.696695706638808e-130,1.3654469774957255e-122
71,8918.373469730293,4.267469928235469e-132,2.0146855633287884e-124
72,7388.6971748572505,4.910435375814782e-134,2.96289471450266e-126
73,6098.752884712421,5.635096273755003e-136,4.345537508927969e-128
74,5018.621713760805,6.452334057792471e-138,6.359073238996931e-130
75,4119.386560207635,7.374566276005998e-140,9.288361932821503e-132
76,3374.277623674622,8.415930215165377e-142,1.3546369554189547e-133
77,2759.252909815311,9.592494778765317e-144,1.9731693144409665e-135
78,2253.1947822894845,1.0922504207170198e-145,2.871190132445418e-137
79,1837.8622084345636,1.242665749913025e-147,4.174427255469038e-139
80,1497.7001333805338,1.4128427828853365e-149,6.065070967063869e-141
81,1219.5759662808566,1.6054426824490113e-151,8.807113633960588e-143
82,992.4890972160372,1.8234819264211805e-153,1.2783058490302933e-144
83,807.2819102908694,2.070379454722034e-155,1.854709803632731e-146
84,656.3686466272475,2.350010220960678e-157,2.6902150634652567e-148
85,533.4904005057016,2.6667659786086696e-159,3.9011458438710055e-150
86,433.4993778576303,3.025624248046679e-161,5.656025124292838e-152
87,352.17241830456777,3.432226541650625e-163,8.198993622299511e-154
88,286.052014676515,3.8929670716420244e-165,1.1883734907899764e-155
89,232.3121804733109,4.4150933319728554e-167,1.722261974985985e-157
90,188.64618519829514,5.006820133691281e-169,2.495789707121929e-159
91,153.17317681847734,5.677458886039748e-171,3.6164821637563684e-161
92,124.36089343443747,6.437564156361773e-173,5.2401045284269534e-163
93,100.96193929601792,7.299099814567862e-175,7.592302544956735e-165
94,81.96140613566236,8.275627376761423e-177,1.0999951484853128e-166
95,66.53392562902789,9.38251951254354e-179,1.593656826477995e-168
96,54.00852411306652,1.0637202077033942e-180,2.3088095402086016e-170
97,43.83990756594155,1.2059428478026796e-182,3.344819554785866e-172
98,35.585030183055345,1.3671590698034432e-184,4.845629493659663e-174
99,28.88399395847782,1.5499071868291844e-186,7.019755275261855e-176
100,23.444491620875027,1.7570645946198928e-188,1.0169253612988763e-177
101,19.02914406013007,1.9918930789477697e-190,1.473168423565709e-179
102,15.44519927826586,2.258090176120404e-192,2.1340896203912455e-181
103,12.536156115220246,2.5598473953082853e-194,3.0915082728753614e-183
104,10.174955513767586,2.901916219488493e-196,4.478433701925543e-185
105,8.258447562021546,3.2896829242870655e-198,6.487542914032614e-187
106,6.702896312059783,3.729253392857956e-200,9.397947296038844e-189
107,5.440328415114059,4.227549262343303e-202,1.3613966729535994e-190
108,4.415567628969839,4.792416915896615e-204,1.97212975966945e-192
109,3.5838266619092263,5.432751036527451e-206,2.856837749464208e-194
110,2.908751803625816,6.15863466832824e-208,4.13842497816108e-196
111,2.3608353385630703,6.981497990582244e-210,5.994930160448848e-198
112,1.9161266513177526,7.914298304919032e-212,8.684259419733e-200
113,1.5551858836943298,8.971724069720723e-214,1.2580014437434702e-201
114,1.2622345356338258,1.0170426194648476e-215,1.8223392938717375e-203
115,1.02446596538411,1.1529280237416896e-217,2.639837148697313e-205
116,0.8314857039567475,1.3069683631554026e-219,3.8240614917931405e-207
117,0.6748571539027477,1.4815892625508324e-221,5.539524202026333e-209
118,0.5477328363462685,1.6795404238788563e-223,8.024536413755743e-211
119,0.44455508149866724,1.9039389249693692e-225,1.1624314508017443e-212
120,0.3608130880935013,2.158318303277107e-227,1.683893729079387e-214
121,0.292845737780805,2.446684197508566e-229,2.4392816528621064e-216
122,0.2376815483908435,2.7735774233034914e-231,3.5335331628901145e-218
123,0.19290877202084167,3.1441454762065155e-233,5.1186608548466274e-220
124,0.15656996073248808,3.564223587866776e-235,7.414869441127726e-222
125,0.12707639165028603,4.040426611835524e-237,1.074114640317437e-223
126,0.10313861102941392,4.580253185862486e-239,1.555957546148786e-225
127,0.08371006127138098,5.192203810906481e-241,2.2539528852457663e-227
128,0.06794132664754858,5.885914706218623e-243,3.265065594783862e-229
129,0.05514299760617787,6.672309548277929e-245,4.7297586115809465e-231
130,0.044755530255084,7.563771482971491e-247,6.851505862901537e-233
131,0.03632478338339819,8.574338119648636e-249,9.925058689825212e-235
132,0.029482163570248673,9.719922577567954e-251,1.4377392450346777e-236
133,0.02392851036912555,1.101856406549603e-252,2.0827021569006375e-238
134,0.019421017056780218,1.2490711940267488e-254,3.0169923028593914e-240
135,0.015762615139986617,1.4159547717299965e-256,4.370400472128972e-242
136,0.012793358522252985,1.6051350103677058e-258,6.330940969522137e-244
137,0.010383430653370464,1.8195908801876957e-260,9.170970400683303e-246
138,0.008427468938719073,2.0626993600202884e-262,1.328502321701949e-247
