,A(H1N1)pdm09,A(H3N2),B
-1,0.0,1030.0,0.0
0,309.0,929.0,0.0
1,1971.0,1971.0,0.0
2,6329.0,635.0,0.0
3,5192.0,0.0,0.0
4,7486.0,0.0,0.0
5,4052.0,0.0,0.0
6,16329.0,0.0,1749.0
7,37675.0,254.0,324.0
8,62277.0,201.0,2403.0
9,36748.0,0.0,3969.0
10,19974.0,352.0,2700.0
11,12778.0,0.0,2129.0
12,8512.0,294.0,462.0
13,12115.0,0.0,8569.0
14,6948.0,0.0,1588.0
15,5011.0,1054.0,3389.0
16,4922.0,1407.0,4352.0
17,2478.0,0.0,6694.0
18,610.0,1824.0,5545.0
19,0.0,0.0,17765.0
20,0.0,693.0,9023.0
21,0.0,1025.0,18463.0
22,0.0,1045.0,5221.0
23,0.0,0.0,5752.0
24,0.0,0.0,4147.0
25,0.0,0.0,1528.0
26,0.0,0.0,2267.0
