,A(H1N1)pdm09,A(H3N2),B
81,0.0,1030.0,0.0
82,309.0,929.0,0.0
83,1971.0,1971.0,0.0
84,6329.0,635.0,0.0
85,5192.0,0.0,0.0
86,7486.0,0.0,0.0
87,4052.0,0.0,0.0
88,16329.0,0.0,1749.0
89,37675.0,254.0,324.0
90,62277.0,201.0,2403.0
91,36748.0,0.0,3969.0
92,19974.0,352.0,2700.0
93,12778.0,0.0,2129.0
94,8512.0,294.0,462.0
95,12115.0,0.0,8569.0
96,6948.0,0.0,1588.0
97,5011.0,1054.0,3389.0
98,4922.0,1407.0,4352.0
99,2478.0,0.0,6694.0
100,610.0,1824.0,5545.0
101,0.0,0.0,17765.0
102,0.0,693.0,9023.0
103,0.0,1025.0,18463.0
104,0.0,1045.0,5221.0
105,0.0,0.0,5752.0
106,0.0,0.0,4147.0
107,0.0,0.0,1528.0
108,0.0,0.0,2267.0
