,A(H1N1)pdm09,A(H3N2),B
64,0.0,1030.0,0.0
65,309.0,929.0,0.0
66,1971.0,1971.0,0.0
67,6329.0,635.0,0.0
68,5192.0,0.0,0.0
69,7486.0,0.0,0.0
70,4052.0,0.0,0.0
71,16329.0,0.0,1749.0
72,37675.0,254.0,324.0
73,62277.0,201.0,2403.0
74,36748.0,0.0,3969.0
75,19974.0,352.0,2700.0
76,12778.0,0.0,2129.0
77,8512.0,294.0,462.0
78,12115.0,0.0,8569.0
79,6948.0,0.0,1588.0
80,5011.0,1054.0,3389.0
81,4922.0,1407.0,4352.0
82,2478.0,0.0,6694.0
83,610.0,1824.0,5545.0
84,0.0,0.0,17765.0
85,0.0,693.0,9023.0
86,0.0,1025.0,18463.0
87,0.0,1045.0,5221.0
88,0.0,0.0,5752.0
89,0.0,0.0,4147.0
90,0.0,0.0,1528.0
91,0.0,0.0,2267.0
