,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
0,2.7500048601744265,3.5123934171431976,3.5156863962998615
1,5.174707319886657,11.714510363626724,11.749380459353215
2,10.947185981449962,42.056931662325574,42.262336437773655
3,23.2971109424913,151.51756633552816,152.54520177552908
4,49.526528452284495,544.886179810962,549.607891863541
5,104.72061283208905,1944.9070811293636,1965.2930255136034
6,217.27677848324794,6760.962830878549,6842.306450364849
7,422.61150444865916,21470.93503955955,21741.3784997838
8,672.1453672713691,51661.06527178926,52176.86379422655
9,658.636593769663,65608.23469550627,65616.82502111256
10,315.99280239447535,34381.152669175186,33746.24842913242
11,88.3164602197415,9502.842011381257,9122.099586500291
12,20.147274222825253,2076.4204823999694,1951.8297494280393
13,4.375405203608506,428.7003460524374,395.012607465961
14,0.9404408120417862,87.45909731879162,79.02178281643475
15,0.20171215351348998,17.7990337185103,15.771249569787006
16,0.0432462402734083,3.6205348851357466,3.1461636753260533
17,0.009271019005783832,0.7363858421046531,0.6275605029294091
18,0.0019874631645553165,0.14977153538259527,0.12517617854369623
19,0.0004260584596058672,0.030461503943654402,0.02496813656075946
20,9.133537000397766e-05,0.006195452585587491,0.00498023966874762
21,1.9579821603445553e-05,0.0012600699656832358,0.0009933774321282316
22,4.1973816172843205e-06,0.00025628091602172766,0.00019814281202622437
23,8.998045383813442e-07,5.212401632255416e-05,3.9522312916960984e-05
24,1.9289363707482746e-07,1.0601308579374063e-05,7.883269649875513e-06
25,4.135115308725205e-08,2.1561604705859932e-06,1.57242670710861e-06
26,8.864563328757814e-09,4.3853340744106654e-07,3.1364216358439763e-07
27,1.9003214455228894e-09,8.919166827473517e-08,6.256024928361342e-08
28,4.073772686119733e-10,1.8140359558993068e-08,1.2478503354562225e-08
29,8.733061418249834e-11,3.689499829914113e-09,2.4890093590235235e-09
30,1.8721310100284826e-11,7.503935603187417e-10,4.964671974897694e-10
31,4.0133400543661945e-12,1.5261973745122344e-10,9.902722032352647e-11
32,8.603510280904401e-13,3.1040757132545626e-11,1.9752342983760365e-11
33,1.8443587672841087e-13,6.313263405197645e-12,3.939876854802677e-12
34,3.9538039142090435e-14,1.2840310129425993e-12,7.858627021499151e-13
35,8.475880977882804e-15,2.611542614935106e-13,1.5675113953816628e-13
