,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
2,10701.0,0.0,0.0
3,0.0,0.0,2620.0
4,651.0,651.0,651.0
5,1509.0,378.0,1132.0
6,3080.0,0.0,440.0
7,7576.0,0.0,1196.0
8,12889.0,0.0,2802.0
9,12010.0,0.0,4461.0
10,15052.0,224.0,2890.0
11,10196.0,0.0,3492.0
12,3237.0,0.0,446.0
13,10630.0,154.0,2619.0
14,3437.0,172.0,1375.0
15,5266.0,0.0,3512.0
16,2380.0,217.0,2163.0
17,1177.0,0.0,1513.0
18,806.0,0.0,0.0
19,0.0,0.0,1321.0
20,0.0,0.0,256.0
21,270.0,0.0,1625.0
22,506.0,0.0,0.0
23,2789.0,0.0,0.0
24,1676.0,0.0,0.0
