,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
13,10701.0,0.0,0.0
14,0.0,0.0,2620.0
15,651.0,651.0,651.0
16,1509.0,378.0,1132.0
17,3080.0,0.0,440.0
18,7576.0,0.0,1196.0
19,12889.0,0.0,2802.0
20,12010.0,0.0,4461.0
21,15052.0,224.0,2890.0
22,10196.0,0.0,3492.0
23,3237.0,0.0,446.0
24,10630.0,154.0,2619.0
25,3437.0,172.0,1375.0
26,5266.0,0.0,3512.0
27,2380.0,217.0,2163.0
28,1177.0,0.0,1513.0
29,806.0,0.0,0.0
30,0.0,0.0,1321.0
31,0.0,0.0,256.0
32,270.0,0.0,1625.0
33,506.0,0.0,0.0
34,2789.0,0.0,0.0
35,1676.0,0.0,0.0
