,A(H1N1)pdm09_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_0-14,A(H3N2)_15 и ст.,B_0-14,B_15 и ст.
0,3.248309061298937,3.1759751773004727,1.6303807749088242,1.7477749347942129,1.865886840021419,1.18234954009498
1,5.89261437666421,5.726396101983788,0.3827556678449,1.060031464426304,1.3630610347923935,0.06163278526099052
2,9.537238694583092,9.280713328827895,0.09589086126844491,1.2600998557195557,1.6864476784213576,0.009888746945538786
3,14.969107674793916,14.493092122225214,0.02312077450049911,1.8108762155638252,2.4090834480874816,0.0020951659352445393
4,23.291216924448275,22.358572827125162,0.005523934600898956,2.754305416993426,3.6157980856267993,0.00048456074428584377
5,36.15307375796165,34.35989147239302,0.0013166719365265893,4.251576447290009,5.51154208044784,0.00011461917431799057
6,56.07061891843642,52.731345273181134,0.00031360997387880465,6.586291240170603,8.439752806957674,2.7255973880134538e-05
7,86.91185655245087,80.86727448498685,7.466465217352432e-05,10.209859487383172,12.939010337818033,6.488352783282772e-06
8,134.62341541263956,123.92892446665874,1.7767349633248698e-05,15.823997342905058,19.838079348968982,1.5445612173612877e-06
9,208.31267765328442,189.73940566328722,4.2248526094891195e-06,24.510625816985968,30.40261765471586,3.67538275462908e-07
10,321.8308433444395,290.08133399721754,1.0034914717684267e-06,37.92816864750617,46.55493463196741,8.739635229212752e-08
11,496.00921509097,442.5173765500408,2.3794041544337142e-07,58.60004754229726,71.1953690566985,2.0758820346744434e-08
12,761.6236746156782,672.7963993278211,5.6269854944479376e-08,90.3233541702095,108.65728689580622,4.9223237462731576e-09
13,1162.8566522992012,1017.6816306365313,1.325345269915623e-08,138.7128417248648,165.31758776674403,1.1641259285969016e-09
14,1760.1975900402747,1527.4278313041655,3.102500237746059e-09,211.8425686838864,250.33772001313514,2.7421553234308426e-10
15,2629.884123012863,2265.7856620403068,7.195478428507946e-10,320.80420983896335,376.37916948120085,6.420149629236907e-11
16,3853.672576530843,3302.9679174171174,1.6458063241310394e-10,479.68574711772436,559.8435336373092,1.4894457386523875e-11
17,5488.654196110096,4693.901674277193,3.6884075114757784e-11,703.9169073302415,819.6515421931259,3.40876759662369e-12
18,7507.00926771768,6433.661895090512,8.027785024049038e-12,1005.270945700495,1172.882162310058,7.648102859786824e-13
19,9712.94152049632,8393.205220654969,1.6778776978499128e-12,1381.9044721872085,1625.417334151945,1.6683160348767215e-13
20,11691.328067799432,10271.365062581961,3.324322831856731e-13,1804.6550986440366,2157.826152605531,3.5017411760236126e-14
21,12891.268613778484,11637.428221784148,6.164019496214711e-14,2207.980900001417,2712.8995177214633,6.991356434399272e-15
22,12891.327304957733,12111.11525688113,1.0593039701625034e-14,2500.599594022473,3198.597777575066,1.3132123146772278e-15
23,11681.791088157715,11584.952778088193,1.6809850919435285e-15,2602.6739502645587,3516.818381877172,2.301934745893894e-16
24,9682.544353787103,10286.858362445222,2.4720905717679664e-16,2488.8598161208847,3606.4651175301765,3.753832040073612e-17
25,7465.128805055632,8618.640896801237,3.4020060225278864e-17,2200.912852456616,3469.4324854399156,5.708821111417649e-18
26,5458.3962396187335,6937.011355073571,4.437380395691957e-18,1819.8931568304138,3160.7449756460896,8.153436360645046e-19
