,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
22,10701.0,0.0,0.0
23,0.0,0.0,2620.0
24,651.0,651.0,651.0
25,1509.0,378.0,1132.0
26,3080.0,0.0,440.0
27,7576.0,0.0,1196.0
28,12889.0,0.0,2802.0
29,12010.0,0.0,4461.0
30,15052.0,224.0,2890.0
31,10196.0,0.0,3492.0
32,3237.0,0.0,446.0
33,10630.0,154.0,2619.0
34,3437.0,172.0,1375.0
35,5266.0,0.0,3512.0
36,2380.0,217.0,2163.0
37,1177.0,0.0,1513.0
38,806.0,0.0,0.0
39,0.0,0.0,1321.0
40,0.0,0.0,256.0
41,270.0,0.0,1625.0
42,506.0,0.0,0.0
43,2789.0,0.0,0.0
44,1676.0,0.0,0.0
