,A(H3N2)_0-14,B_0-14
0,1.1706651043078553,2.1482878731705277
1,0.04408302018035275,2.026840288331496
2,0.0032052113946431974,2.301194737772004
3,0.0002358213845988895,2.6350942686055903
4,1.7308328010768196e-05,3.0193805026151135
5,1.2700576803089726e-06,3.4597894594000156
6,9.31946763608243e-08,3.964393292961258
7,6.8384123277207344e-09,4.542527970254366
8,5.017805627776365e-10,5.204887880221276
9,3.68184763532356e-11,5.963716662894832
10,2.701532940958441e-12,6.833029444054809
11,1.9821937646966378e-13,7.8288665287267385
12,1.454360501547505e-14,8.969582608025734
13,1.0670548039932525e-15,10.27617618841972
14,7.828677816442192e-17,11.772664497305396
15,5.743482057395722e-18,13.486509694816057
16,4.2135204752735823e-19,15.449102824005703
17,3.090974803807547e-20,17.696312546051857
18,2.2673757776475226e-21,20.269106313024732
19,1.6631291546229575e-22,23.21425219767862
20,1.219829611423808e-23,26.58511008447792
21,8.946204773801483e-25,30.44252126869736
22,6.560547724307242e-26,34.855805628970614
23,4.810579498897826e-27,39.90387532267361
24,3.526991033623892e-28,45.676473256086176
25,2.585554473948405e-29,52.27554320912483
26,1.8951215773880717e-30,59.81673619623491
27,1.388816886329932e-31,68.43105409754571
28,1.0175752880658727e-32,78.2666263869116
29,7.453999257809922e-34,89.49060840089263
30,5.458825254258372e-35,102.29117939868593
31,3.9965009412067577e-36,116.87960488510025
32,2.924913931339962e-37,133.49230938962737
33,2.139822277567381e-38,152.39288205548752
34,1.564767644180095e-39,173.87390681626812
35,1.1436743239300835e-40,198.25847038734935
36,8.354190596158012e-42,225.90115358742565
37,6.098469712383012e-43,257.1882536812144
38,4.448485666934476e-44,292.53691707784145
39,3.2421531100502633e-45,332.39278338017664
40,2.3606644256848755e-46,377.225655600603
41,1.716949169929512e-47,427.52262191142484
42,1.2472085915486816e-48,483.77796965386415
43,9.047062277897926e-50,546.4791653147461
44,6.552136407381624e-51,616.0881437056362
45,4.736703762812984e-52,693.0171817806478
46,3.41734643229117e-53,777.5987612554384
47,2.4598736478520283e-54,870.0490901273197
48,1.7661547021302298e-55,970.4254006345093
49,1.2644667786411443e-56,1078.5778112454632
50,9.024205286689004e-58,1194.097459414757
51,6.417759199373784e-59,1316.2637752057262
52,4.5464407472538005e-60,1443.9951160733606
53,3.207052139676119e-61,1575.8083878669675
54,2.251714217968804e-62,1709.7945124665455
55,1.5729527582006757e-63,1843.6173517210807
56,1.0927844802688438e-64,1974.5435786934338
