,A(H3N2)_0-14
0,2.0808441521736007
1,1.774732058684461
2,1.8423150510145607
3,1.9292222390007947
4,2.0215658971901234
5,2.118381630633281
6,2.2198150225161184
7,2.3260811345696797
8,2.4374077526417506
9,2.5540332500147107
10,2.676206969973912
11,2.804189706098971
12,2.9382542006052597
13,3.0786856612139992
14,3.22578229727184
15,3.3798558755512658
16,3.5412322961029195
17,3.7102521884928112
18,3.887271528714925
19,4.072662277020356
20,4.266813036846655
21,4.4701297349649565
22,4.683036322886544
23,4.905975499484001
24,5.139409454683844
25,5.383820633976385
26,5.6397125233633325
27,5.907610454222984
28,6.1880624274153435
29,6.481639955773602
30,6.788938923932518
31,7.1105804642266435
32,7.4472118471500535
33,7.799507384602553
34,8.168169343852979
35,8.553928869826002
36,8.957546912962721
37,9.379815159514589
38,9.821556960702718
39,10.283628256707345
40,10.766918490943201
41,11.272351509522226
42,11.80088644020351
43,12.35351854447848
44,12.931280035734078
45,13.53524085567642
46,14.16650940037827
47,14.826233186434505
48,15.515599446767549
49,16.23583564461826
50,16.988209893185108
51,17.77403126723519
52,18.594649991803937
53,19.451457491826815
54,20.34588628520769
55,21.27940970042615
56,22.253541398324618
57,23.269834676199952
58,24.329881530760197
59,25.435311454904056
60,26.58778994164908
61,27.789016666887967
62,29.040723321006396
63,30.34467105777046
64,31.702647527308415
65,33.116463458498046
66,34.58794875465615
67,36.11894806514783
68,37.711315794428046
69,39.36691050914338
70,41.08758870330737
71,42.875197881275376
72,44.73156891834631
73,46.658507659377605
74,48.65778571688987
75,50.731130431839546
76,52.8802139626361
77,55.10664147116562
78,57.41193837864913
79,59.7975366692087
80,62.264760225135845
81,64.81480918515446
82,67.44874332553823
83,70.1674644738746
84,72.97169797664183
85,75.86197325465925
86,78.83860349493193
87,81.90166454348082
88,85.05097308143118
89,88.28606418590695
90,91.60616839808762
91,95.0101884430214
92,98.49667576930838
93,102.0638071013572
94,105.70936122231524
95,109.43069623163956
96,113.2247275472079
97,117.08790694739207
98,121.01620297307326
99,125.00508303254698
100,129.0494975729473
101,133.14386669945608
102,137.28206963733913
103,141.4574374409152
104,145.6627493570369
105,149.8902332476716
106,154.13157046586167
107,158.37790556092156
108,162.6198611614864
109,166.8475583483821
110,171.05064278281583
111,175.21831679887399
112,179.3393776027732
113,183.40226164503764
114,187.39509514635677
115,191.30575066423552
116,195.12190948693564
117,198.83112953522283
118,202.42091834300354
119,205.87881057729948
120,209.19244944866415
121,212.34967125781498
122,215.33859222579477
123,218.14769666630758
124,220.76592548288411
125,223.18276391297005
126,225.38832739840402
127,227.37344443922234
128,229.12973528699735
129,230.6496853561629
130,231.92671227754926
131,232.95522558753117
132,233.7306781379703
133,234.24960842499075
134,234.5096731663679
135,234.5096696051228
136,234.24954717743717
137,233.7304083524429
138,232.95449862569444
139,231.92518582292814
140,230.6469290417535
141,229.1252377220418
142,227.36662148708427
143,225.37853153358495
144,223.16929446625966
145,220.74803956985266
146,218.12462058605155
147,215.30953311406986
148,212.31382878127587
149,209.14902733456168
150,205.82702778518666
151,202.36001970118076
152,198.76039568413026
153,195.04066599372507
154,191.2133761965639
155,187.29102861826036
156,183.28600827283987
157,179.21051383365716
158,175.07649409840522
159,170.8955902898055
160,166.67908442560648
161,162.4378538885965
162,158.1823322311628
163,153.92247616084785
164,149.66773857437715
165,145.42704743843464
166,141.20879025639826
167,137.02080381139717
168,132.87036883723763
169,128.76420923957733
170,124.70849546964591
171,120.70885164111355
172,116.7703659766045
173,112.89760417297795
174,109.09462528296481
175,105.36499972415766
176,101.71182904382792
177,98.13776708874869
178,94.64504225234703
179,91.23548049637425
180,87.9105288702135
181,84.67127927736507
182,81.51849226506047
183,78.4526206389302
184,75.47383272983969
185,72.5820351641233
186,69.77689501127452
187,67.05786120452544
188,64.42418514956131
189,61.87494045480142
190,59.4090417332084
191,57.025262440472176
192,54.72225172768246
193,52.49855029831416
194,50.35260526957009
195,48.2827840469442
196,46.28738722837497
197,44.364660560654755
198,42.51280597594493
199,40.72999174042386
200,39.014361750361246
201,37.36404401336973
202,35.777158354322566
203,34.251823386535115
204,32.786162789369314
205,31.37831093351165
206,30.026417894865695
207,28.728653897356484
208,27.483213224021416
209,26.288317634615947
210,25.142219326636223
211,24.04320347519839
212,22.989590385649873
213,21.979737291154827
214,21.01203982581917
215,20.08493320222575
216,19.196893120555043
217,18.34643643478858
218,17.532121599844967
219,16.75254892189183
220,16.0063606325214
221,15.29224080597822
222,14.608915137190941
223,13.955150596988759
224,13.329754979580061
225,12.731576356136914
226,12.159502447164694
227,11.612459925240993
228,11.089413658680868
229,10.589365905724947
230,10.111355467951052
231,9.654456810776264
232,9.217779158142799
233,8.800465567764352
234,8.401691992647512
235,8.020666333992294
236,7.656627490014072
237,7.308844404713289
238,6.976615120146603
239,6.659265835320737
240,6.356149974435664
241,6.066647266844297
242,5.790162840769035
243,5.526126332519093
244,5.273991012684247
245,5.033232930538185
246,4.803350077666286
247,4.583861571636366
248,4.374306860354797
249,4.174244947593045
250,3.9832536400293064
251,3.800928816025164
252,3.626883716246673
253,3.460748256141811
254,3.302168360200553
255,3.1508053178488766
256,3.0063351607628914
257,0.833346329440185
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
