,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
50,0.0,0.0,206.0,0.0,0.0,144.0
51,0.0,0.0,193.0,0.0,0.0,124.0
52,0.0,0.0,229.0,0.0,0.0,138.0
53,0.0,201.0,0.0,0.0,180.0,0.0
54,0.0,1666.0,370.0,0.0,1401.0,311.0
55,0.0,429.0,429.0,0.0,353.0,353.0
56,891.0,3119.0,0.0,799.0,2796.0,0.0
57,545.0,4363.0,0.0,436.0,3485.0,0.0
58,435.0,5893.0,843.0,377.0,5084.0,728.0
59,650.0,6505.0,795.0,464.0,4631.0,566.0
60,0.0,7922.0,610.0,0.0,6514.0,501.0
61,309.0,11131.0,618.0,237.0,8522.0,473.0
62,0.0,7847.0,3320.0,0.0,6261.0,2649.0
63,285.0,4557.0,1709.0,233.0,3724.0,1396.0
64,604.0,5436.0,3020.0,514.0,4626.0,2570.0
65,0.0,14416.0,3604.0,0.0,11233.0,2808.0
66,0.0,6848.0,1713.0,0.0,5569.0,1392.0
67,307.0,4306.0,1539.0,251.0,3517.0,1256.0
68,442.0,221.0,442.0,378.0,189.0,378.0
69,201.0,0.0,602.0,194.0,0.0,582.0
70,0.0,206.0,0.0,0.0,224.0,0.0
