,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
0,1.7492778075903281,1.1014336680684422,1.2150774331842191,2.2466233495166197,1.3259388078425138,2.2717103003811854
1,1.1036059423431341,0.02976655971772832,0.22488566735830262,2.2942887836951575,0.1366972991824323,2.2639029089534852
2,1.1955787774164028,0.0039413229120006275,0.23493613194553356,2.6921981911180173,0.02181148132031664,2.5711579879409756
3,1.3864397962555564,0.0006173832417475223,0.2680344088067967,3.169716259164453,0.003480788194211436,2.9422085749852327
4,1.6273466704804491,9.830693483202303e-05,0.3068700060821356,3.7308450826311965,0.0005552855605777188,3.3688742920066193
5,1.9141914900264534,1.5680090725295527e-05,0.3513784936887507,4.39069514628309,8.858539036323104e-05,3.857526229964104
6,2.252449477609056,2.501403628821144e-06,0.4023425407276298,5.167069072186582,1.4132095920634047e-05,4.417044300785003
7,2.650647404123505,3.9904709017295586e-07,0.4606958685416816,6.080650805291732,2.2544953388580672e-06,5.057693455621658
8,3.1192545581152995,6.365949932201518e-08,0.5275089070940683,7.155700796117153,3.5965856326900274e-07,5.791229500224251
9,3.6706800966356843,1.0155470879296144e-08,0.6040069399713692,8.420742898775401,5.737590323669467e-08,6.631109215180359
10,4.319540970096217,1.6200717526482095e-09,0.6915923404998481,9.909327744025797,9.153062416008869e-09,7.592735379482525
11,5.083034178819735,2.584433278231251e-10,0.7918700387366151,11.660919290069073,1.4601608758437798e-09,8.693737024903697
12,5.981386208234154,4.122804802219493e-11,0.9066766113644467,13.721933884519304,2.3293350644095394e-10,9.954289672805976
13,7.038383252926648,6.576820576714962e-12,1.0381134937854484,16.146959829020613,3.71586307869705e-11,11.397481127925317
14,8.281993948258812,1.0491420264881513e-12,1.1885848799548684,19.000188705387373,5.927660900472617e-12,13.049729142407662
15,9.74509983800614,1.6735813379065904e-13,1.3608409468208775,22.357094556367514,9.455886360950521e-13,14.941258081315812
16,11.466351587653275,2.6696397301551293e-14,1.5580271183282965,26.30640279143881,1.508396816573878e-13,17.10664262573291
17,13.491171855102486,4.258441292708921e-15,1.7837401686499108,30.952397334288104,2.4061491144374158e-14,19.585427543276474
18,15.872928953523145,6.792654756862234e-16,2.042092055037383,36.417622081876786,3.838150382177695e-15,22.422833637217604
19,18.674309037733373,1.0834721812214146e-16,2.337782466259036,42.846041253232954,6.122273550774958e-16,25.67056114877085
20,21.968918523613098,1.728158432042265e-17,2.676181171007906,50.40673269418429,9.765474380681881e-17,29.387703120018795
