,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_15 и ст.,B_15 и ст.
54,388.0,0.0,0.0,245.0,0.0,0.0
55,0.0,0.0,504.0,0.0,0.0,411.0
56,385.0,192.0,385.0,318.0,159.0,318.0
57,1628.0,1163.0,0.0,1465.0,1046.0,0.0
58,2594.0,865.0,288.0,2181.0,727.0,242.0
59,5988.0,1620.0,873.0,4715.0,1275.0,687.0
60,9749.0,4265.0,2002.0,7867.0,3442.0,1616.0
61,11306.0,2513.0,1843.0,9580.0,2128.0,1561.0
62,14710.0,2322.0,2094.0,13031.0,2057.0,1855.0
63,12160.0,2158.0,3511.0,10382.0,1843.0,2998.0
64,4610.0,1085.0,2405.0,3775.0,889.0,1969.0
65,5852.0,2926.0,4192.0,5141.0,2571.0,3683.0
66,2289.0,2290.0,3942.0,1953.0,1953.0,3363.0
67,3634.0,1421.0,4424.0,3173.0,1240.0,3862.0
68,318.0,1588.0,4924.0,286.0,1431.0,4437.0
69,3805.0,1680.0,5696.0,3113.0,1373.0,4658.0
70,168.0,840.0,6556.0,129.0,650.0,5066.0
71,1601.0,480.0,5075.0,1291.0,388.0,4093.0
72,0.0,344.0,2750.0,0.0,222.0,1773.0
73,0.0,878.0,1317.0,0.0,643.0,964.0
74,0.0,1432.0,1609.0,0.0,1303.0,1466.0
75,0.0,175.0,527.0,0.0,165.0,494.0
76,0.0,0.0,126.0,0.0,0.0,143.0
