,Все
0,2.17062247323169
1,2.1145958819716903
2,2.4702859549256146
3,2.910383317555312
4,3.4310940021865743
5,4.045096103658214
6,4.768968605095558
7,5.622359390225284
8,6.628434555113253
9,7.814501084950483
10,9.212745604989486
11,10.86110474565477
12,12.804290131678501
13,15.094995215569568
14,17.795315877982638
15,20.97842218815253
16,24.730525073526593
17,29.15318901089981
18,34.366050351565534
19,40.51001066401924
20,47.75098565063959
21,56.28430288725055
22,66.33985593474503
23,78.1881383145498
24,92.14729837014706
25,108.59137496086103
26,127.95989384550825
27,150.7690247932317
28,177.62451873488465
29,209.2366608238497
30,246.43748638863383
31,290.2005084574478
32,341.66319213459866
33,402.152374627321
34,473.2127591312559
35,556.6384910959009
36,654.50763659238
37,769.2190983799799
38,903.5310922651709
39,1060.5997227539378
40,1244.0153929089358
41,1457.833702231552
42,1706.5960697077123
43,1995.333515595957
44,2329.5448180505336
45,2715.1376544132995
46,3158.3184621171104
47,3665.4138864993974
48,4242.604332883724
49,4895.549143003067
50,5628.88451108443
51,6445.58111589172
52,7346.160582409782
53,8327.790325806807
54,9383.306444715812
55,10500.253759552204
56,11660.077303583523
57,12837.642435007128
58,14001.28783297424
59,15113.6094843374
60,16133.117009923604
61,17016.786559510783
62,17723.363900375156
63,18217.077256430002
64,18471.253527856465
65,18471.25352786082
66,18216.19659212759
67,17719.138603604973
68,17005.657397903462
69,16111.10539613679
70,15077.023663961632
71,13947.314154173113
72,12764.725522476581
73,11568.056762593886
74,10390.281947964788
75,9257.608267417083
76,8189.338659714955
77,7198.334459728255
78,6291.856325796089
79,5472.585674045686
80,4739.674028041163
81,4089.7178781557736
82,3517.6014821635654
83,3017.1846962750515
84,2581.836549934796
85,2204.8292744780942
86,1879.6141749554101
87,1600.0024518216305
88,1360.272810181695
89,1155.2249003017807
90,980.1942899826744
91,831.0413643715605
92,704.1235904338226
93,596.2580977574812
94,504.6795318040381
95,426.99658942702814
96,361.1494835546277
97,305.3697326425336
98,258.1430635902236
99,218.1757961275251
100,184.36479449421213
101,155.77089080669623
102,131.5955748105032
103,111.16068494733835
104,93.89080975546679
105,79.29810494895146
106,66.96924182378629
107,56.55422115318301
108,47.75680952167559
109,40.32637948434352
110,34.050959332309326
111,28.751321559769423
112,24.275960770187275
113,20.49683144052069
114,17.305733590875185
115,14.611250016360646
116,12.336152436826413
117,10.415205858270332
118,8.793310785234132
119,7.423931848444199
120,6.267769083160143
121,5.291634667481438
122,4.467503549312245
123,3.771711184534344
124,3.1842756915604684
125,2.6883251994580446
126,2.269614116103193
127,1.9161145455939028
128,1.617671206273699
129,1.36570999884739
130,1.152991896794241
131,0.973405120158034
132,0.8217896442863926
133,0.6937890174217592
134,0.5857252409205276
135,0.4944931251375226
136,0.4174710912000246
137,0.35244585973178544
138,0.2975488653974558
139,0.25120257220668524
140,0.21207514839788819
141,0.1790421994976924
142,0.1511544606607739
143,0.12761052041781384
144,0.10773379238447066
145,0.09095307344270359
146,0.07678612988859793
147,0.0648258399977204
148,0.05472849488194654
149,0.04620392150568638
150,0.03900714407251532
151,0.032931344187090365
152,0.027801917510131408
153,0.02347145612718213
154,0.01981551244924257
155,0.016729022918887178
156,0.014123288754003677
157,0.011923426967306248
158,0.010066218413032556
159,0.008498291020901983
160,0.007174586009231979
161,0.006057063000793155
162,0.005113606830157699
163,0.004317104627206409
164,0.0036446666546384324
165,0.0030769685083717638
166,0.002597695777333353
167,0.0021930752035304564
168,0.0018514788690771194
169,0.0015630900354517687
170,0.0013196210319890316
171,0.001114075086373767
172,0.0009405452526909847
173,0.0007940446586799718
174,0.0006703631938808987
175,0.0005659465202117681
176,0.0004777939280088062
177,0.00040337210213901707
178,0.0003405423200131201
179,0.00028749898932973935
180,0.00024271775926028904
181,0.00020491171390343176
182,0.0001729943891045457
183,0.00014604854982412833
184,0.0001232998307845936
185,0.00010409448288489473
186,8.788058586320645e-05
187,7.419218730031233e-05
188,6.263591215300741e-05
189,5.287965800448895e-05
190,4.464305115768741e-05
191,3.768938930029686e-05
192,3.181883919111372e-05
193,2.6862693883887883e-05
194,2.267852445370513e-05
195,1.914608689698798e-05
196,1.6163866578259313e-05
197,1.3646160918529056e-05
198,1.1520616488065563e-05
199,9.726149724913921e-06
200,8.211191525098822e-06
201,6.932205257822608e-06
202,5.852435616613193e-06
203,4.940852351103459e-06
204,4.171258524572495e-06
205,3.5215376704943667e-06
206,2.9730182129978228e-06
207,2.509936886052172e-06
208,2.11898573120427e-06
209,1.7889296555588616e-06
210,1.5102835594436237e-06
211,1.2750397551045204e-06
212,1.0764378430327784e-06
213,9.087704326655225e-07
214,7.672191242921038e-07
215,6.47716038639907e-07
216,5.46826914798632e-07
217,4.6165241696955905e-07
218,3.8974481380866223e-07
219,3.290376359076192e-07
220,2.777862899204551e-07
221,2.3451792271392078e-07
222,1.9798909474542958e-07
223,1.6715004629273784e-07
224,1.4111452962388814e-07
225,1.1913434014905307e-07
226,1.0057781463452027e-07
227,8.49116785638698e-08
228,7.168572097865855e-08
229,6.05198563865912e-08
230,5.10932019243254e-08
231,4.3134855876131406e-08
232,3.641611254292381e-08
233,3.074388973379341e-08
234,2.595518000032348e-08
235,2.1912366154133214e-08
236,1.8499266445727224e-08
237,1.5617795751621845e-08
238,1.3185146819468163e-08
239,1.1131410566236675e-08
240,9.397567041966572e-09
241,7.9337893237113e-09
242,6.6980115972509085e-09
243,5.654720276328321e-09
244,4.773933418783937e-09
245,4.030339110209731e-09
246,3.4025680541275448e-09
247,2.87257946450238e-09
248,2.425142612466157e-09
249,2.0473991280230766e-09
