,Все
0,2.235017986435952
1,2.379628559512755
2,3.009171022819271
3,3.8368860165078313
4,4.895332642744417
5,6.245948917704061
6,7.969164083839612
7,10.167726113032401
8,12.972709825423633
9,16.551303500158753
10,21.11673911273119
11,26.940941669071208
12,34.37063410760426
13,43.84782946791109
14,55.9358854984624
15,71.35259901921162
16,91.01218909597401
17,116.07847010516215
18,148.03205648501432
19,188.75507277628637
20,240.6375552207324
21,306.71049064504365
22,390.8111682049435
23,497.78707125867015
24,633.7446427831528
25,806.3484609638759
26,1025.1739103197372
27,1302.1111375176363
28,1651.8081260107342
29,2092.1234722758277
30,2644.531300577971
31,3334.3772709321547
32,4190.821294272487
33,5246.216888574942
34,6534.573224848034
35,8088.642899112124
36,9935.122981763296
37,12087.537493210373
38,14536.722133297833
39,17239.613381938118
40,20108.335916463857
41,23003.205419628608
42,25734.554819090834
43,28078.059361658117
44,29805.242630863213
45,30724.955163599978
46,30724.955163623526
47,29799.37608201767
48,28051.245668775315
49,25668.704421664737
50,22884.001551444762
51,19929.72827465548
52,17004.850307167857
53,14256.511821802775
54,11776.808595583398
55,9609.779596336879
56,7763.139810255248
57,6220.546223308602
58,4952.024034610246
59,3921.703042583441
60,3092.9480727821833
61,2431.3870137998674
62,1906.4310599832334
63,1491.8105997900752
64,1165.5251579927533
65,909.482841181448
66,709.0056175858679
67,552.3052092629283
68,429.98651319414085
69,334.60538856187605
70,260.2898558859443
71,202.42395913623494
72,157.38869596012967
73,122.35248861573432
74,95.10335303598619
75,73.91543345936032
76,57.44344060857073
77,44.63950296333246
78,34.687877949733995
79,26.953810204770193
80,20.943545599554025
81,16.273112164689763
82,12.643972627026312
83,9.824052224337468
84,7.632964825217286
85,5.9305141985927685
86,4.607747924682986
87,3.5799994156342656
88,2.7814775132989555
89,2.1610602338471985
90,1.6790251321024727
91,1.3045080089758405
92,1.013527887502848
93,0.7874521807548285
94,0.6118040042777796
95,0.47533539985210177
96,0.3693072079744399
97,0.28692952508441766
98,0.22292694422941833
99,0.17320075624726325
100,0.13456649023506553
101,0.10454999219809966
102,0.08122898679769128
103,0.0631099782030249
104,0.049032608181954984
105,0.03809534734087465
106,0.029597761251126918
107,0.022995654450638663
108,0.017866219889145524
109,0.013880962065014999
110,0.01078465988968394
111,0.008379022078108957
112,0.006509988361318508
113,0.005057863289694826
114,0.0039296507920443795
115,0.003053098590986504
116,0.002372071074362343
117,0.0018429542970892908
118,0.001431862886083975
119,0.0011124699753405618
120,0.0008643211976541356
121,0.0006715247589508906
122,0.0005217337059271092
123,0.00040535521009730044
124,0.0003149362297583024
125,0.00024468620683941656
126,0.00019010623149931042
127,0.00014770092566482017
128,0.00011475459413813318
129,8.915730768059986e-05
130,6.926978019315172e-05
131,5.381838654039735e-05
132,4.1813597813797306e-05
133,3.2486610514498114e-05
134,2.524011130025637e-05
